Date/Time;Cyano;Total Conc.;Turbidity;Depth;Longitude;Latitude;Sensor temp.;LED 1 [470 nm];LED 2 [610 nm];LED 3 [525 nm];LED 4 [700 nm];Cyano;Total cell count;Raw depth data
date;µg/l;µg/l;FTU;m;°;°;°C;digits;digits;digits;digits;cells/ml;cells/ml;m
4/16/2018 9:58:12 PM;3.10;3.10;162.50;0.00;--;--;18.00;1039.00;85309.00;16165.00;1403998.00;3100;3100;0.00
5/3/2018 3:52:07 PM;16.90;32.00;14.10;0.00;-71.435453;41.793273;24.30;105425.00;100612.00;126619.00;175489.00;16900;24903;0.00
5/3/2018 3:52:46 PM;17.20;30.60;13.70;0.00;-71.435480;41.793255;24.60;96154.00;101011.00;117546.00;170248.00;17200;24302;0.00
5/3/2018 3:54:07 PM;9.00;14.20;7.10;0.00;-71.435531;41.793196;22.80;46756.00;53639.00;62464.00;95047.00;9000;11756;0.00
5/3/2018 3:54:49 PM;20.60;41.80;13.60;0.00;-71.435453;41.793216;22.50;144350.00;124426.00;162839.00;169877.00;20600;31836;0.00
5/3/2018 3:56:10 PM;24.20;45.40;13.60;0.00;-71.435465;41.793196;21.40;147097.00;140356.00;169807.00;168993.00;24200;35436;0.00
5/3/2018 3:56:53 PM;14.30;23.00;11.60;0.00;-71.435460;41.793275;21.60;68663.00;84413.00;89110.00;147234.00;14300;18911;0.00
5/3/2018 3:57:47 PM;25.90;50.50;10.40;0.00;-71.435480;41.793256;21.30;171283.00;150209.00;195362.00;132714.00;25900;38938;0.00
5/3/2018 5:49:10 PM;1.90;22.80;6.80;0.00;-71.415276;41.724813;30.30;147031.00;32541.00;116278.00;91919.00;1900;12977;0.00
5/3/2018 5:49:53 PM;2.50;31.30;10.40;0.00;-71.415248;41.724811;29.10;192542.00;44668.00;151205.00;133525.00;2500;17764;0.00
5/3/2018 7:54:43 PM;0.00;0.00;0.00;0.00;--;--;23.70;121.00;1590.00;860.00;9505.00;0;0;0.00
5/8/2018 5:09:31 PM;0.00;1.40;0.00;0.00;--;--;21.50;20450.00;7287.00;12888.00;10613.00;0;638;0.00
5/8/2018 5:46:31 PM;0.00;6.60;6.30;0.00;-71.276501;41.590508;22.30;55790.00;12387.00;42550.00;86716.00;0;3498;0.00
5/11/2018 4:00:34 PM;28.90;40.20;21.00;0.00;-71.435638;41.793235;23.80;88157.00;162772.00;125805.00;253519.00;28900;34889;0.00
5/11/2018 4:27:03 PM;15.60;145.90;19.20;0.00;-71.413316;41.780498;25.10;598654.00;181928.00;338279.00;233297.00;15600;77675;0.00
5/11/2018 4:27:45 PM;22.20;326.30;25.40;0.00;-71.413226;41.780461;25.40;1096385.00;310348.00;562292.00;304104.00;22200;164333;0.00
5/11/2018 5:41:06 PM;1.70;15.50;4.10;0.00;-71.415290;41.724760;27.70;103828.00;26008.00;83405.00;60484.00;1700;9014;0.00
5/18/2018 5:46:19 PM;1.80;6.00;13.40;0.00;-71.435518;41.793263;20.00;37958.00;21436.00;38163.00;167316.00;1800;4026;0.00
5/18/2018 6:37:41 PM;0.00;0.00;0.70;0.00;-71.415486;41.724703;19.30;-3195.00;3183.00;115.00;22013.00;0;0;0.00
5/18/2018 6:38:18 PM;0.90;17.00;6.20;0.00;-71.415340;41.724735;20.50;115668.00;25294.00;84733.00;85577.00;900;9313;0.00
5/24/2018 3:26:06 PM;0.00;0.90;0.00;0.00;-70.989065;43.538901;23.80;18617.00;5143.00;15760.00;10574.00;0;477;0.00
5/24/2018 3:27:00 PM;0.00;1.20;0.00;0.00;-70.989181;43.539090;22.90;20246.00;5594.00;16889.00;10038.00;0;636;0.00
6/12/2018 5:20:51 PM;2.70;24.30;3.00;0.00;-71.413993;41.726893;28.90;127543.00;37280.00;68963.00;48160.00;2700;12836;0.00
6/12/2018 5:21:23 PM;2.70;19.50;2.90;0.00;-71.413938;41.726950;29.00;103638.00;33693.00;58723.00;47465.00;2700;10612;0.00
6/12/2018 5:29:57 PM;2.10;14.30;2.60;0.00;-71.410385;41.725675;23.90;83273.00;27239.00;52658.00;43445.00;2100;8006;0.00
6/12/2018 5:30:24 PM;2.20;14.30;2.70;0.00;-71.410433;41.725696;24.70;82832.00;27851.00;52962.00;44644.00;2200;8069;0.00
6/12/2018 5:48:01 PM;2.10;16.80;2.60;0.00;-71.411875;41.722965;25.30;93960.00;29204.00;55222.00;43550.00;2100;9099;0.00
6/12/2018 5:48:29 PM;2.20;16.00;2.70;0.00;-71.411896;41.722995;25.90;88927.00;28993.00;52671.00;45410.00;2200;8762;0.00
6/12/2018 6:04:14 PM;1.80;13.50;2.50;0.00;-71.410953;41.721375;23.80;78464.00;25419.00;47625.00;42531.00;1800;7393;0.00
6/12/2018 6:04:45 PM;1.50;14.80;2.50;0.00;-71.411063;41.721471;24.40;85013.00;25185.00;47599.00;43227.00;1500;7765;0.00
6/12/2018 6:13:08 PM;2.00;13.40;2.70;0.00;-71.414430;41.720456;23.30;75043.00;26222.00;44415.00;44683.00;2000;7386;0.00
6/12/2018 6:13:33 PM;1.80;13.60;2.70;0.00;-71.414478;41.720471;24.00;76636.00;25504.00;44469.00;45109.00;1800;7366;0.00
6/12/2018 6:20:38 PM;2.60;17.80;2.60;0.00;-71.413931;41.722508;23.50;96749.00;32125.00;57481.00;44181.00;2600;9832;0.00
6/12/2018 6:21:04 PM;2.30;15.50;2.70;0.00;-71.413878;41.722473;24.20;83943.00;29002.00;48313.00;44497.00;2300;8504;0.00
6/13/2018 3:22:00 PM;0.20;9.20;0.40;0.00;-71.573653;41.515248;21.90;72629.00;14296.00;57317.00;18229.00;200;4970;0.00
6/13/2018 3:22:40 PM;0.30;8.80;0.30;0.00;-71.573720;41.515295;22.30;69627.00;14156.00;55524.00;18127.00;300;4805;0.00
6/13/2018 3:32:08 PM;0.30;10.40;0.20;0.00;-71.571580;41.513688;20.60;80071.00;15522.00;64041.00;16784.00;300;5653;0.00
6/13/2018 3:32:34 PM;0.30;9.40;0.20;0.00;-71.571286;41.513588;21.30;73466.00;14497.00;58523.00;16802.00;300;5123;0.00
6/13/2018 3:48:05 PM;0.30;9.10;0.20;0.00;-71.569718;41.510066;20.30;70843.00;14094.00;57321.00;16896.00;300;4964;0.00
6/13/2018 3:48:31 PM;0.30;9.50;0.30;0.00;-71.569636;41.510066;21.10;73821.00;14749.00;58868.00;17084.00;300;5176;0.00
6/13/2018 3:50:01 PM;0.00;0.00;0.00;0.00;-71.569665;41.510003;20.80;-4122.00;-679.00;-1594.00;-1266.00;0;0;0.00
6/13/2018 3:57:13 PM;0.10;8.80;0.20;0.00;-71.570541;41.508113;20.30;70684.00;13542.00;55657.00;16858.00;100;4711;0.00
6/13/2018 3:57:39 PM;0.00;9.60;0.20;0.00;-71.570516;41.508173;20.90;76604.00;13782.00;60309.00;16752.00;0;5088;0.00
6/13/2018 4:05:17 PM;0.20;7.60;0.20;0.00;-71.572415;41.508515;20.40;62789.00;13399.00;48629.00;16800.00;200;4122;0.00
6/13/2018 4:05:43 PM;0.20;8.50;0.20;0.00;-71.573178;41.508443;21.20;68456.00;13976.00;53639.00;16865.00;200;4599;0.00
6/13/2018 4:21:09 PM;0.50;9.40;0.20;0.00;-71.573033;41.510770;20.60;71715.00;15443.00;58416.00;16839.00;500;5217;0.00
6/13/2018 4:21:32 PM;0.50;9.30;0.20;0.00;-71.573115;41.510778;21.30;71477.00;15578.00;57537.00;16444.00;500;5164;0.00
6/13/2018 4:30:57 PM;0.20;7.60;0.20;0.00;-71.575426;41.512780;20.80;61898.00;12830.00;49003.00;17042.00;200;4122;0.00
6/13/2018 4:31:22 PM;0.10;7.40;0.20;0.00;-71.575420;41.512876;21.50;61793.00;12717.00;48625.00;16808.00;100;3969;0.00
6/18/2018 3:59:27 PM;1.40;8.80;2.60;0.00;-71.435853;41.793881;28.40;60877.00;18812.00;52656.00;43456.00;1400;5322;0.00
6/18/2018 4:00:01 PM;1.50;9.50;2.90;0.00;-71.435788;41.793646;28.80;65285.00;20016.00;55770.00;47676.00;1500;5740;0.00
6/18/2018 4:00:35 PM;1.70;10.50;2.80;0.00;-71.435905;41.793808;28.10;70159.00;21439.00;60535.00;46545.00;1700;6364;0.00
6/18/2018 4:11:47 PM;1.40;10.20;2.30;0.00;-71.431878;41.789793;27.30;71074.00;19790.00;59369.00;40971.00;1400;6064;0.00
6/18/2018 4:12:13 PM;1.10;8.80;2.10;0.00;-71.431885;41.789828;28.10;63012.00;18707.00;54017.00;38466.00;1100;5181;0.00
6/18/2018 4:19:15 PM;1.80;11.30;2.60;0.00;-71.430241;41.791335;26.60;73408.00;21767.00;65010.00;43588.00;1800;6835;0.00
6/18/2018 4:19:40 PM;1.80;11.50;2.60;0.00;-71.430188;41.791196;27.40;76061.00;22248.00;66561.00;43340.00;1800;6941;0.00
6/18/2018 4:28:14 PM;1.70;11.70;3.70;0.00;-71.432020;41.793605;26.20;76963.00;22059.00;67924.00;56711.00;1700;7000;0.00
6/18/2018 4:28:39 PM;1.70;11.30;2.40;0.00;-71.432233;41.793733;26.90;74814.00;21866.00;66728.00;41345.00;1700;6788;0.00
6/18/2018 4:39:42 PM;1.70;11.20;2.40;0.00;-71.430608;41.797538;26.40;74450.00;21881.00;64336.00;41562.00;1700;6735;0.00
6/18/2018 4:40:07 PM;1.70;12.00;2.50;0.00;-71.430758;41.797748;27.20;79612.00;22495.00;68017.00;42987.00;1700;7159;0.00
6/18/2018 4:47:03 PM;1.40;9.80;2.40;0.00;-71.432405;41.798490;26.30;67494.00;19577.00;57770.00;41862.00;1400;5852;0.00
6/18/2018 4:47:27 PM;1.20;9.50;2.40;0.00;-71.432151;41.798226;27.10;66974.00;19124.00;57281.00;41092.00;1200;5599;0.00
6/18/2018 5:00:58 PM;1.40;8.60;2.40;0.00;-71.433980;41.794801;27.20;59557.00;18653.00;52502.00;41634.00;1400;5216;0.00
6/18/2018 5:01:24 PM;1.30;9.10;2.40;0.00;-71.433428;41.794003;27.90;63760.00;18556.00;54054.00;42025.00;1300;5434;0.00
6/18/2018 6:49:23 PM;1.40;18.10;2.40;0.00;-71.415200;41.725148;31.10;111602.00;27019.00;71103.00;41484.00;1400;9643;0.00
6/18/2018 6:49:49 PM;1.40;15.40;2.50;0.00;-71.415138;41.725118;31.60;96858.00;25310.00;64167.00;42581.00;1400;8372;0.00
6/18/2018 6:56:33 PM;1.20;19.40;2.40;0.00;-71.413966;41.726845;26.90;119068.00;27257.00;73838.00;41874.00;1200;10142;0.00
6/18/2018 6:56:59 PM;1.20;17.50;2.30;0.00;-71.413993;41.726836;27.60;108233.00;25766.00;67149.00;40879.00;1200;9191;0.00
6/18/2018 7:05:31 PM;1.40;17.00;2.30;0.00;-71.410503;41.725791;26.00;102861.00;26222.00;63080.00;40788.00;1400;8996;0.00
6/18/2018 7:05:55 PM;1.50;16.70;2.40;0.00;-71.410456;41.725741;26.70;99365.00;26512.00;60059.00;41248.00;1500;8852;0.00
6/18/2018 7:17:30 PM;1.40;18.30;2.20;0.00;-71.410891;41.721425;25.60;107832.00;26978.00;63582.00;39091.00;1400;9549;0.00
6/18/2018 7:17:54 PM;1.30;16.70;2.20;0.00;-71.410950;41.721506;26.40;100949.00;25800.00;60867.00;39253.00;1300;8758;0.00
6/18/2018 7:25:57 PM;1.60;17.00;2.40;0.00;-71.414435;41.720523;25.50;99385.00;27015.00;59339.00;41073.00;1600;9018;0.00
6/18/2018 7:26:22 PM;1.60;18.80;2.30;0.00;-71.414373;41.720511;26.30;109090.00;28429.00;63860.00;40668.00;1600;9860;0.00
6/18/2018 7:33:37 PM;1.30;15.60;2.30;0.00;-71.413985;41.722496;25.30;93728.00;25050.00;55907.00;40508.00;1300;8191;0.00
6/18/2018 7:34:00 PM;1.60;17.30;2.40;0.00;-71.414006;41.722488;26.10;100332.00;27162.00;58883.00;41081.00;1600;9129;0.00
6/18/2018 7:48:35 PM;1.80;19.80;2.20;0.00;-71.411956;41.722611;25.80;114231.00;29909.00;67262.00;39474.00;1800;10460;0.00
6/18/2018 7:48:59 PM;1.50;15.00;2.30;0.00;-71.411920;41.722695;26.60;90179.00;25331.00;55457.00;40074.00;1500;8039;0.00
6/20/2018 3:30:27 PM;0.00;6.70;0.10;0.00;-71.573688;41.515260;31.60;58232.00;10298.00;44953.00;15114.00;0;3551;0.00
6/20/2018 3:30:57 PM;0.00;5.50;0.00;0.00;-71.573665;41.515278;31.90;50110.00;9232.00;39096.00;14582.00;0;2915;0.00
6/20/2018 3:39:54 PM;0.00;5.20;0.00;0.00;-71.571173;41.513326;31.80;47668.00;9421.00;37283.00;14653.00;0;2756;0.00
6/20/2018 3:40:19 PM;0.00;4.90;0.10;0.00;-71.571166;41.513343;32.30;45667.00;8604.00;36029.00;14868.00;0;2597;0.00
6/20/2018 3:52:50 PM;0.00;5.10;0.10;0.00;-71.569498;41.510115;31.50;47643.00;8379.00;36242.00;14865.00;0;2703;0.00
6/20/2018 3:53:13 PM;0.00;5.20;0.00;0.00;-71.569463;41.510120;32.10;48556.00;8933.00;36821.00;14726.00;0;2756;0.00
6/20/2018 4:02:13 PM;0.00;4.90;0.00;0.00;-71.570643;41.508151;30.60;46219.00;8791.00;34937.00;14483.00;0;2597;0.00
6/20/2018 4:02:37 PM;0.00;5.20;0.10;0.00;-71.570658;41.508158;31.10;47960.00;8723.00;36306.00;15176.00;0;2756;0.00
6/20/2018 4:11:05 PM;0.00;4.30;0.00;0.00;-71.572785;41.508730;28.10;43032.00;7851.00;31966.00;14721.00;0;2279;0.00
6/20/2018 4:11:28 PM;0.00;4.90;0.00;0.00;-71.572795;41.508715;28.80;46688.00;8516.00;34346.00;14103.00;0;2597;0.00
6/20/2018 4:29:43 PM;0.00;5.50;0.00;0.00;-71.572978;41.510701;31.40;50069.00;9050.00;38476.00;14098.00;0;2915;0.00
6/20/2018 4:30:06 PM;0.00;5.20;0.00;0.00;-71.573018;41.510736;32.20;48397.00;9228.00;36967.00;14496.00;0;2756;0.00
6/20/2018 4:41:25 PM;0.00;4.40;0.00;0.00;-71.575713;41.512748;32.30;42418.00;8054.00;32837.00;13858.00;0;2332;0.00
6/20/2018 4:41:48 PM;0.00;4.70;0.00;0.00;-71.575486;41.512856;32.90;44873.00;7947.00;34621.00;13473.00;0;2491;0.00
6/25/2018 3:53:56 PM;2.40;11.90;1.50;0.00;-71.435131;41.792920;24.20;75401.00;24293.00;67211.00;30784.00;2400;7435;0.00
6/25/2018 3:54:25 PM;2.90;13.30;1.70;0.00;-71.435010;41.792831;24.80;80134.00;27968.00;73825.00;33827.00;2900;8412;0.00
6/25/2018 4:03:15 PM;2.90;9.30;1.90;0.00;-71.431926;41.789698;26.60;55810.00;25100.00;51574.00;35370.00;2900;6292;0.00
6/25/2018 4:03:40 PM;2.80;9.00;1.80;0.00;-71.431890;41.789761;27.20;54390.00;23935.00;50766.00;34710.00;2800;6086;0.00
