,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-001,100,NTU,na,100 ntu,na,na,turb,17,9,2019
SAMPLE-002,9.98,NTU,na,10 ntu,na,na,turb,17,9,2019
SAMPLE-003,0,NTU,na,blank,na,na,turb,17,9,2019
SAMPLE-004,16.61,NTU,mashapaug,1,int,1,turb,16,9,2019
SAMPLE-005,12.4,NTU,mashapaug,1,int,2,turb,16,9,2019
SAMPLE-006,17.8,NTU,mashapaug,2,int,1,turb,16,9,2019
SAMPLE-007,18.94,NTU,mashapaug,2,int,2,turb,16,9,2019
SAMPLE-008,17.45,NTU,mashapaug,3,int,1,turb,16,9,2019
SAMPLE-009,16.13,NTU,mashapaug,3,int,2,turb,16,9,2019
AMPLE-010,17.25,NTU,mashapaug,4,int,1,turb,16,9,2019
SAMPLE-011,14.76,NTU,mashapaug,4,int,2,turb,16,9,2019
SAMPLE-012,18.86,NTU,mashapaug,5,int,1,turb,16,9,2019
SAMPLE-013,16.87,NTU,mashapaug,5,int,2,turb,16,9,2019
SAMPLE-014,15.35,NTU,mashapaug,6,int,1,turb,16,9,2019
SAMPLE-015,11.54,NTU,mashapaug,6,int,2,turb,16,9,2019
SAMPLE-016,12.05,NTU,mashapaug,p,int,1,turb,16,9,2019
SAMPLE-017,15.31,NTU,mashapaug,p,int,2,turb,16,9,2019
SAMPLE-018,16.92,NTU,mashapaug,p,int,3,turb,16,9,2019
SAMPLE-019,7.16,NTU,warwick,1,int,1,turb,16,9,2019
AMPLE-020,8.8,NTU,warwick,1,int,2,turb,16,9,2019
SAMPLE-021,7.62,NTU,warwick,2,int,1,turb,16,9,2019
SAMPLE-022,6.44,NTU,warwick,2,int,2,turb,16,9,2019
SAMPLE-023,6.9,NTU,warwick,3,int,1,turb,16,9,2019
SAMPLE-024,7.66,NTU,warwick,3,int,2,turb,16,9,2019
SAMPLE-025,6.87,NTU,warwick,4,int,1,turb,16,9,2019
SAMPLE-026,8.08,NTU,warwick,4,int,2,turb,16,9,2019
SAMPLE-027,6.7,NTU,warwick,5,int,1,turb,16,9,2019
SAMPLE-028,8.54,NTU,warwick,5,int,2,turb,16,9,2019
SAMPLE-029,7.75,NTU,warwick,6,int,1,turb,16,9,2019
SAMPLE-030,7.46,NTU,warwick,6,int,2,turb,16,9,2019
SAMPLE-031,7.39,NTU,warwick,p,int,1,turb,16,9,2019
SAMPLE-032,7.89,NTU,warwick,p,int,2,turb,16,9,2019
SAMPLE-033,8.88,NTU,warwick,p,int,3,turb,16,9,2019
SAMPLE-034,99.86,NTU,na,100 ntu,na,na,turb,17,9,2019
SAMPLE-035,9.97,NTU,na,10 ntu,na,na,turb,17,9,2019
SAMPLE-036,0.02,NTU,na,blank,na,na,turb,17,9,2019
