,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-004,11.9,NTU,mashapaug,1,int,1,turb,30,7,2019
SAMPLE-005,8.74,NTU,mashapaug,1,int,2,turb,30,7,2019
SAMPLE-006,11.49,NTU,mashapaug,2,int,1,turb,30,7,2019
SAMPLE-007,15.9,NTU,mashapaug,2,int,2,turb,30,7,2019
SAMPLE-008,14.44,NTU,mashapaug,3,int,1,turb,30,7,2019
AMPLE-009,9.6,NTU,mashapaug,3,int,2,turb,30,7,2019
SAMPLE-010,8.83,NTU,mashapaug,4,int,1,turb,30,7,2019
SAMPLE-011,10.65,NTU,mashapaug,4,int,2,turb,30,7,2019
SAMPLE-012,15.87,NTU,mashapaug,5,int,1,turb,30,7,2019
SAMPLE-013,12.59,NTU,mashapaug,5,int,2,turb,30,7,2019
SAMPLE-014,11.57,NTU,mashapaug,6,int,1,turb,30,7,2019
SAMPLE-015,11.45,NTU,mashapaug,6,int,2,turb,30,7,2019
SAMPLE-016,11.41,NTU,mashapaug,p,int,1,turb,30,7,2019
SAMPLE-017,13.16,NTU,mashapaug,p,int,2,turb,30,7,2019
SAMPLE-018,12.81,NTU,mashapaug,p,int,3,turb,30,7,2019
SAMPLE-019,2.47,NTU,warwick,1,int,1,turb,30,7,2019
SAMPLE-020,2.61,NTU,warwick,1,int,2,turb,30,7,2019
SAMPLE-021,3.41,NTU,warwick,2,int,1,turb,30,7,2019
SAMPLE-022,3.34,NTU,warwick,2,int,2,turb,30,7,2019
SAMPLE-023,3.73,NTU,warwick,3,int,1,turb,30,7,2019
SAMPLE-024,2.9,NTU,warwick,3,int,2,turb,30,7,2019
SAMPLE-025,3.63,NTU,warwick,4,int,1,turb,30,7,2019
SAMPLE-026,3.11,NTU,warwick,4,int,2,turb,30,7,2019
SAMPLE-027,3.52,NTU,warwick,5,int,1,turb,30,7,2019
SAMPLE-028,3.2,NTU,warwick,5,int,2,turb,30,7,2019
SAMPLE-029,3.42,NTU,warwick,6,int,1,turb,30,7,2019
SAMPLE-030,3.85,NTU,warwick,6,int,2,turb,30,7,2019
SAMPLE-031,2.23,NTU,warwick,p,int,1,turb,30,7,2019
AMPLE-032,2.59,NTU,warwick,p,int,2,turb,30,7,2019
SAMPLE-033,2.52,NTU,warwick,p,int,3,turb,30,7,2019
