,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-011,6.47,NTU,warwick,1,int,1,turb,5,6,2019
SAMPLE-012,8.23,NTU,warwick,1,int,2,turb,5,6,2019
SAMPLE-013,8.02,NTU,warwick,2,int,1,turb,5,6,2019
SAMPLE-014,6.92,NTU,warwick,2,int,2,turb,5,6,2019
SAMPLE-015,7.88,NTU,warwick,3,int,1,turb,5,6,2019
SAMPLE-016,6.93,NTU,warwick,3,int,2,turb,5,6,2019
SAMPLE-017,9.57,NTU,warwick,4,int,1,turb,5,6,2019
SAMPLE-018,7.17,NTU,warwick,4,int,2,turb,5,6,2019
SAMPLE-019,6.83,NTU,warwick,5,int,1,turb,5,6,2019
SAMPLE-020,6.47,NTU,warwick,5,int,2,turb,5,6,2019
SAMPLE-021,7.67,NTU,warwick,6,int,1,turb,5,6,2019
SAMPLE-022,6.67,NTU,warwick,6,int,2,turb,5,6,2019
SAMPLE-023,6.55,NTU,warwick,p,int,1,turb,5,6,2019
SAMPLE-024,6.63,NTU,warwick,p,int,2,turb,5,6,2019
SAMPLE-025,6.01,NTU,warwick,p,int,3,turb,5,6,2019
SAMPLE-026,4.65,NTU,mashapaug,1,int,1,turb,5,6,2019
SAMPLE-027,5.76,NTU,mashapaug,1,int,2,turb,5,6,2019
SAMPLE-028,5.31,NTU,mashapaug,2,int,1,turb,5,6,2019
SAMPLE-029,4.61,NTU,mashapaug,2,int,2,turb,5,6,2019
SAMPLE-030,5.03,NTU,mashapaug,3,int,1,turb,5,6,2019
SAMPLE-031,5.28,NTU,mashapaug,3,int,2,turb,5,6,2019
SAMPLE-032,5.07,NTU,mashapaug,4,int,1,turb,5,6,2019
SAMPLE-033,5.38,NTU,mashapaug,4,int,2,turb,5,6,2019
SAMPLE-034,5.77,NTU,mashapaug,5,int,1,turb,5,6,2019
SAMPLE-035,3.96,NTU,mashapaug,5,int,2,turb,5,6,2019
SAMPLE-036,5.7,NTU,mashapaug,6,int,1,turb,5,6,2019
SAMPLE-037,5.99,NTU,mashapaug,6,int,2,turb,5,6,2019
SAMPLE-038,4.36,NTU,mashapaug,p,int,1,turb,5,6,2019
SAMPLE-039,5.74,NTU,mashapaug,p,int,2,turb,5,6,2019
SAMPLE-040,5.34,NTU,mashapaug,p,int,3,turb,5,6,2019
