,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-004,1.39,NTU,yawgoo,1,int,1,turb,10,6,2019
SAMPLE-006,2.95,NTU,yawgoo,1,int,2,turb,10,6,2019
SAMPLE-007,1.02,NTU,yawgoo,2,int,1,turb,10,6,2019
SAMPLE-008,1.05,NTU,yawgoo,2,int,2,turb,10,6,2019
SAMPLE-009,0.84,NTU,yawgoo,3,int,1,turb,10,6,2019
SAMPLE-010,1.09,NTU,yawgoo,3,int,2,turb,10,6,2019
SAMPLE-011,1.06,NTU,yawgoo,4,int,1,turb,10,6,2019
SAMPLE-012,1.37,NTU,yawgoo,4,int,2,turb,10,6,2019
SAMPLE-013,0.87,NTU,yawgoo,5,int,1,turb,10,6,2019
SAMPLE-014,0.66,NTU,yawgoo,5,int,2,turb,10,6,2019
SAMPLE-015,1.12,NTU,yawgoo,6,int,1,turb,10,6,2019
SAMPLE-016,0.47,NTU,yawgoo,6,int,2,turb,10,6,2019
SAMPLE-017,0.73,NTU,yawgoo,p,int,1,turb,10,6,2019
SAMPLE-018,0.51,NTU,yawgoo,p,int,2,turb,10,6,2019
SAMPLE-019,0.67,NTU,yawgoo,p,int,3,turb,10,6,2019
