,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-004,1.77,NTU,yawgoo,1,int,1,turb,1,7,2019
SAMPLE-005,0.27,NTU,yawgoo,1,int,2,turb,1,7,2019
SAMPLE-006,0.34,NTU,yawgoo,2,int,1,turb,1,7,2019
SAMPLE-007,0.35,NTU,yawgoo,2,int,2,turb,1,7,2019
SAMPLE-008,-0.4,NTU,yawgoo,3,int,1,turb,1,7,2019
AMPLE-009,1.13,NTU,yawgoo,3,int,2,turb,1,7,2019
SAMPLE-010,1.56,NTU,yawgoo,4,int,1,turb,1,7,2019
SAMPLE-011,-0.08,NTU,yawgoo,4,int,2,turb,1,7,2019
SAMPLE-012,0.86,NTU,yawgoo,5,int,1,turb,1,7,2019
SAMPLE-013,1.52,NTU,yawgoo,5,int,2,turb,1,7,2019
SAMPLE-014,0.27,NTU,yawgoo,6,int,1,turb,1,7,2019
SAMPLE-015,0.12,NTU,yawgoo,6,int,2,turb,1,7,2019
SAMPLE-016,0.24,NTU,yawgoo,p,int,1,turb,1,7,2019
SAMPLE-017,0.19,NTU,yawgoo,p,int,2,turb,1,7,2019
SAMPLE-018,-0.32,NTU,yawgoo,p,int,3,turb,1,7,2019
