,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-001,99.95,NTU,na,100 ntu,na,na,turb,4,10,2019
AMPLE-002,9.95,NTU,na,10 ntu,na,na,turb,4,10,2019
SAMPLE-003,-0.05,NTU,na,blank,na,na,turb,4,10,2019
SAMPLE-004,0.68,NTU,yawgoo,1,int,1,turb,3,10,2019
AMPLE-005,1.69,NTU,yawgoo,1,int,2,turb,3,10,2019
SAMPLE-006,0.63,NTU,yawgoo,2,int,1,turb,3,10,2019
SAMPLE-007,0.77,NTU,yawgoo,2,int,2,turb,3,10,2019
SAMPLE-008,0.89,NTU,yawgoo,3,int,1,turb,3,10,2019
SAMPLE-009,1.13,NTU,yawgoo,3,int,2,turb,3,10,2019
SAMPLE-010,5.48,NTU,yawgoo,4,int,1,turb,3,10,2019
SAMPLE-011,1.85,NTU,yawgoo,4,int,2,turb,3,10,2019
SAMPLE-012,6.63,NTU,yawgoo,5,int,1,turb,3,10,2019
SAMPLE-013,0.8,NTU,yawgoo,5,int,2,turb,3,10,2019
SAMPLE-014,1.2,NTU,yawgoo,6,int,1,turb,3,10,2019
SAMPLE-015,1.15,NTU,yawgoo,6,int,2,turb,3,10,2019
SAMPLE-016,1.41,NTU,yawgoo,p,int,1,turb,3,10,2019
SAMPLE-017,0.84,NTU,yawgoo,p,int,2,turb,3,10,2019
SAMPLE-018,0.91,NTU,yawgoo,p,int,3,turb,3,10,2019
SAMPLE-019,99.6,NTU,na,100 ntu,na,na,turb,4,10,2019
SAMPLE-020,9.88,NTU,na,10 ntu,na,na,turb,4,10,2019
SAMPLE-021,-0.02,NTU,na,blank,na,na,turb,4,10,2019
