,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-001,99.85,NTU,na,100 ntu,na,na,turb,29,10,2019
SAMPLE-002,9.91,NTU,na,10 ntu,na,na,turb,29,10,2019
SAMPLE-003,-0.02,NTU,na,blank,na,na,turb,29,10,2019
SAMPLE-004,20.3,NTU,mashapaug,1,int,1,turb,28,10,2019
SAMPLE-005,22.09,NTU,mashapaug,1,int,2,turb,28,10,2019
SAMPLE-006,11.46,NTU,mashapaug,2,int,1,turb,28,10,2019
SAMPLE-007,14.86,NTU,mashapaug,2,int,2,turb,28,10,2019
SAMPLE-008,14.53,NTU,mashapaug,3,int,1,turb,28,10,2019
SAMPLE-009,17.67,NTU,mashapaug,3,int,2,turb,28,10,2019
SAMPLE-010,12.84,NTU,mashapaug,4,int,1,turb,28,10,2019
SAMPLE-011,10.76,NTU,mashapaug,4,int,2,turb,28,10,2019
SAMPLE-012,18.81,NTU,mashapaug,5,int,1,turb,28,10,2019
SAMPLE-013,13.86,NTU,mashapaug,5,int,2,turb,28,10,2019
SAMPLE-014,14.01,NTU,mashapaug,6,int,1,turb,28,10,2019
SAMPLE-015,12.13,NTU,mashapaug,6,int,2,turb,28,10,2019
SAMPLE-016,16.41,NTU,mashapaug,p,int,1,turb,28,10,2019
SAMPLE-017,15.26,NTU,mashapaug,p,int,2,turb,28,10,2019
SAMPLE-018,17.11,NTU,mashapaug,p,int,3,turb,28,10,2019
AMPLE-019,5.34,NTU,warwick,1,int,1,turb,28,10,2019
SAMPLE-020,4.97,NTU,warwick,1,int,2,turb,28,10,2019
SAMPLE-021,5.72,NTU,warwick,2,int,1,turb,28,10,2019
SAMPLE-022,6.1,NTU,warwick,2,int,2,turb,28,10,2019
AMPLE-023,5.89,NTU,warwick,3,int,1,turb,28,10,2019
SAMPLE-024,6.3,NTU,warwick,3,int,2,turb,28,10,2019
SAMPLE-025,6.08,NTU,warwick,4,int,1,turb,28,10,2019
SAMPLE-026,5.98,NTU,warwick,4,int,2,turb,28,10,2019
SAMPLE-027,6.09,NTU,warwick,5,int,1,turb,28,10,2019
AMPLE-028,7.4,NTU,warwick,5,int,2,turb,28,10,2019
SAMPLE-029,6.73,NTU,warwick,6,int,1,turb,28,10,2019
AMPLE-030,5.92,NTU,warwick,6,int,2,turb,28,10,2019
SAMPLE-031,6.24,NTU,warwick,p,int,1,turb,28,10,2019
SAMPLE-032,7.34,NTU,warwick,p,int,2,turb,28,10,2019
SAMPLE-033,7.53,NTU,warwick,p,int,3,turb,28,10,2019
SAMPLE-034,101.47,NTU,na,100 ntu,na,na,turb,29,10,2019
SAMPLE-035,10.01,NTU,na,10 ntu,na,na,turb,29,10,2019
SAMPLE-036,0.02,NTU,na,blank,na,na,turb,29,10,2019
