,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-004,5.76,NTU,mashapaug,1,int,1,turb,10,7,2019
SAMPLE-005,6.15,NTU,mashapaug,1,int,2,turb,10,7,2019
SAMPLE-006,3.64,NTU,mashapaug,2,int,1,turb,10,7,2019
SAMPLE-007,5.53,NTU,mashapaug,2,int,2,turb,10,7,2019
SAMPLE-008,4.06,NTU,mashapaug,3,int,1,turb,10,7,2019
SAMPLE-009,3.59,NTU,mashapaug,3,int,2,turb,10,7,2019
SAMPLE-010,4.1,NTU,mashapaug,4,int,1,turb,10,7,2019
SAMPLE-011,4.09,NTU,mashapaug,4,int,2,turb,10,7,2019
SAMPLE-012,4.4,NTU,mashapaug,5,int,1,turb,10,7,2019
SAMPLE-013,3.75,NTU,mashapaug,5,int,2,turb,10,7,2019
SAMPLE-014,4.13,NTU,mashapaug,6,int,1,turb,10,7,2019
SAMPLE-015,4.33,NTU,mashapaug,6,int,2,turb,10,7,2019
SAMPLE-016,3.65,NTU,mashapaug,p,int,1,turb,10,7,2019
SAMPLE-017,3.75,NTU,mashapaug,p,int,2,turb,10,7,2019
SAMPLE-018,3.05,NTU,mashapaug,p,int,3,turb,10,7,2019
SAMPLE-019,4.91,NTU,warwick,1,int,1,turb,10,7,2019
SAMPLE-020,3.13,NTU,warwick,1,int,2,turb,10,7,2019
SAMPLE-021,4.33,NTU,warwick,2,int,1,turb,10,7,2019
SAMPLE-022,4.32,NTU,warwick,2,int,2,turb,10,7,2019
SAMPLE-023,3.33,NTU,warwick,3,int,1,turb,10,7,2019
SAMPLE-024,3.63,NTU,warwick,3,int,2,turb,10,7,2019
SAMPLE-025,3.61,NTU,warwick,4,int,1,turb,10,7,2019
SAMPLE-026,5.84,NTU,warwick,4,int,2,turb,10,7,2019
SAMPLE-027,4.3,NTU,warwick,5,int,1,turb,10,7,2019
SAMPLE-028,5.28,NTU,warwick,5,int,2,turb,10,7,2019
SAMPLE-029,4.38,NTU,warwick,6,int,1,turb,10,7,2019
SAMPLE-030,3.65,NTU,warwick,6,int,2,turb,10,7,2019
SAMPLE-031,3.71,NTU,warwick,p,int,1,turb,10,7,2019
SAMPLE-032,3.56,NTU,warwick,p,int,2,turb,10,7,2019
SAMPLE-033,3.43,NTU,warwick,p,int,3,turb,10,7,2019
