,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-001,99.04,NTU,na,100 ntu,na,na,turb,7,11,2019
SAMPLE-002,10.09,NTU,na,10 ntu,na,na,turb,7,11,2019
SAMPLE-003,-0.04,NTU,na,blank,na,na,turb,7,11,2019
SAMPLE-004,16.47,NTU,mashapaug,1,int,1,turb,6,11,2019
AMPLE-005,19.31,NTU,mashapaug,1,int,2,turb,6,11,2019
SAMPLE-006,15.18,NTU,mashapaug,2,int,1,turb,6,11,2019
SAMPLE-007,17.5,NTU,mashapaug,2,int,2,turb,6,11,2019
SAMPLE-008,18.2,NTU,mashapaug,3,int,1,turb,6,11,2019
SAMPLE-009,16.79,NTU,mashapaug,3,int,2,turb,6,11,2019
SAMPLE-010,14.71,NTU,mashapaug,4,int,1,turb,6,11,2019
SAMPLE-011,16.69,NTU,mashapaug,4,int,2,turb,6,11,2019
AMPLE-012,15.7,NTU,mashapaug,5,int,1,turb,6,11,2019
SAMPLE-013,17.39,NTU,mashapaug,5,int,2,turb,6,11,2019
SAMPLE-014,15.31,NTU,mashapaug,6,int,1,turb,6,11,2019
SAMPLE-015,13.59,NTU,mashapaug,6,int,2,turb,6,11,2019
SAMPLE-016,14.93,NTU,mashapaug,p,int,1,turb,6,11,2019
SAMPLE-017,18.43,NTU,mashapaug,p,int,2,turb,6,11,2019
SAMPLE-018,15.76,NTU,mashapaug,p,int,3,turb,6,11,2019
SAMPLE-019,9.57,NTU,warwick,1,int,1,turb,6,11,2019
SAMPLE-020,7.72,NTU,warwick,1,int,2,turb,6,11,2019
SAMPLE-021,8.73,NTU,warwick,2,int,1,turb,6,11,2019
SAMPLE-022,7.14,NTU,warwick,2,int,2,turb,6,11,2019
SAMPLE-023,7.27,NTU,warwick,3,int,1,turb,6,11,2019
SAMPLE-024,7.65,NTU,warwick,3,int,2,turb,6,11,2019
SAMPLE-025,6.71,NTU,warwick,4,int,1,turb,6,11,2019
SAMPLE-026,7.47,NTU,warwick,4,int,2,turb,6,11,2019
SAMPLE-027,8.3,NTU,warwick,5,int,1,turb,6,11,2019
SAMPLE-028,8.36,NTU,warwick,5,int,2,turb,6,11,2019
SAMPLE-029,8.83,NTU,warwick,6,int,1,turb,6,11,2019
SAMPLE-030,8.49,NTU,warwick,6,int,2,turb,6,11,2019
SAMPLE-031,6.58,NTU,warwick,p,int,1,turb,6,11,2019
SAMPLE-032,6.95,NTU,warwick,p,int,2,turb,6,11,2019
SAMPLE-033,6.88,NTU,warwick,p,int,3,turb,6,11,2019
SAMPLE-034,99.3,NTU,na,100 ntu,na,na,turb,7,11,2019
SAMPLE-035,9.97,NTU,na,10 ntu,na,na,turb,7,11,2019
SAMPLE-036,0.01,NTU,na,blank,na,na,turb,7,11,2019
