,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-007,4.21,NTU,mash,1,int,1,turb,18,6,2019
SAMPLE-008,5.87,NTU,mash,1,int,2,turb,18,6,2019
SAMPLE-009,4.93,NTU,mash,2,int,1,turb,18,6,2019
SAMPLE-010,4.12,NTU,mash,2,int,2,turb,18,6,2019
SAMPLE-012,3.69,NTU,mash,3,int,1,turb,18,6,2019
SAMPLE-013,3.29,NTU,mash,3,int,2,turb,18,6,2019
SAMPLE-014,6.26,NTU,mash,4,int,1,turb,18,6,2019
SAMPLE-015,4.57,NTU,mash,4,int,2,turb,18,6,2019
SAMPLE-016,3.91,NTU,mash,5,int,1,turb,18,6,2019
SAMPLE-017,3.89,NTU,mash,5,int,2,turb,18,6,2019
SAMPLE-018,3.14,NTU,mash,6,int,1,turb,18,6,2019
SAMPLE-019,4.25,NTU,mash,6,int,2,turb,18,6,2019
SAMPLE-020,3.1,NTU,mash,p,int,1,turb,18,6,2019
SAMPLE-021,3.47,NTU,mash,p,int,2,turb,18,6,2019
SAMPLE-022,3.58,NTU,mash,p,int,3,turb,18,6,2019
