"project
name","sample
id",ammonia_uM/liter,nitrite_uM/liter,orthophosphate_uM/liter,nitrate_uM/liter
cyano,20180830Y3,0.34,0.24,0.01,0.04
cyano,20180904M1,0.42,0.18,0.05,0.20
cyano,20180904M2,0.37,0.13,0.03,0.25
cyano,20180904M3,0.40,0.22,0.09,0.24
cyano,20180904W1,0.45,0.23,0.01,0.00
cyano,20180904W2,0.41,0.15,0.00,0.12
cyano,20180904W3,0.29,0.08,0.00,0.13
cyano,20180905Y1,0.58,0.11,0.01,0.34
cyano,20180905Y2,0.52,0.18,0.00,0.09
cyano,20180905Y3,0.66,0.28,0.02,0.03
cyano,20180906M1,0.53,0.19,0.02,0.13
cyano,20180906M2,0.65,0.27,0.03,0.05
cyano,20180906M3,0.57,0.24,0.07,4.75
cyano,20180906W1,0.53,0.14,0.05,0.15
cyano,20180906W2,0.50,0.24,0.02,0.00
cyano,20180906W3,0.53,0.07,0.03,0.19
cyano,20180913M1,20.24,0.22,0.06,1.25
cyano,20180913M2,19.06,0.38,0.02,1.25
cyano,20180913M3,17.18,0.33,0.06,1.15
cyano,20180913W1,0.00,0.42,0.04,0.42
cyano,20180913W2,0.00,0.26,0.48,0.63
cyano,20180913W3,0.94,0.19,0.07,0.69
cyano,20180913Y1,0.77,0.32,0.01,0.16
cyano,20180913Y2,0.59,0.14,0.02,0.11
cyano,20180913Y3,0.68,0.19,0.00,0.03
cyano,20180917M1,9.62,0.38,0.00,2.81
cyano,20180917M2,10.83,0.32,0.00,2.75
cyano,20180917M3,9.44,0.35,0.00,2.89
cyano,20180917W1,0.42,0.18,0.00,0.13
cyano,20180917W2,0.60,0.17,0.00,0.19
cyano,20180917W3,0.64,0.17,0.00,0.14
cyano,20180919M1,8.46,0.38,0.00,4.00
cyano,20180919M2,7.53,0.41,0.00,3.81
cyano,20180919M3,6.66,0.35,0.00,3.81
cyano,20180919W1,0.48,0.05,0.07,1.04
cyano,20180919W2,0.69,0.13,0.09,0.24
cyano,20180919W3,0.68,0.22,0.05,0.11
cyano,20180919Y1,0.84,0.16,0.02,0.53
cyano,20180919Y2,0.77,0.25,0.02,0.12
cyano,20180919Y3,0.64,0.24,0.00,0.23
cyano,20180924M1,20.33,0.48,0.02,5.06
cyano,20180924M2,21.40,0.42,0.11,4.94
cyano,20180924M3,20.49,0.40,0.00,4.92
cyano,20180924W1,0.00,0.11,0.03,0.97
cyano,20180924W2,0.00,0.21,0.04,0.75
cyano,20180924W3,5.33,0.06,0.17,0.86
cyano,20180926Y1,0.79,0.20,0.02,0.38
cyano,20180926Y2,1.00,0.33,0.05,0.07
cyano,20180926Y3,0.89,0.25,0.04,0.17
cyano,20180927M1,15.99,0.51,0.07,7.27
cyano,20180927M2,16.04,0.50,0.11,7.32
cyano,20180927M3,15.76,0.54,0.08,7.27
cyano,20180927W1,0.00,0.28,0.05,2.53
cyano,20180927W2,0.00,0.19,0.10,2.67
cyano,20180927W3,7.44,0.24,0.04,2.61
cyano,20181001M1,14.08,0.61,0.05,10.18
cyano,20181001M2,14.57,0.58,0.06,10.21
cyano,20181001M3,14.51,0.64,0.05,9.93
cyano,20181001W1,0.00,0.38,0.26,3.36
cyano,20181001W2,0.00,0.35,0.06,3.46
cyano,20181001W3,9.09,0.23,0.06,3.40
cyano,20181002Y1,0.69,0.24,0.08,0.18
cyano,20181002Y2,0.63,0.15,0.03,0.17
cyano,20181002Y3,0.89,0.10,0.03,0.17
cyano,20181004M1,14.18,0.64,0.07,9.35
cyano,20181004M2,13.81,0.59,0.07,9.34
cyano,20181004M3,14.07,0.66,0.07,9.14
cyano,20181004W1,0.00,0.16,0.05,4.82
cyano,20181004W2,0.00,0.28,0.08,4.33
cyano,20181004W3,8.68,0.15,0.06,4.34
cyano,20181009M1,10.41,0.63,0.06,11.84
cyano,20181009M2,10.23,0.63,0.07,11.63
cyano,20181009M3,9.63,0.66,0.10,11.77
cyano,20181009W1,9.66,0.33,0.08,7.45
cyano,20181009W2,8.33,0.40,0.11,6.35
cyano,20181009W3,8.74,0.35,0.12,6.63
cyano,20181011Y1,0.64,0.39,0.08,0.00
cyano,20181011Y2,0.77,0.16,0.02,0.02
cyano,20181011Y3,0.56,0.31,0.02,0.00
cyano,20181016M1,10.56,0.61,0.08,14.36
cyano,20181016M2,10.03,0.78,0.05,12.29
cyano,20181016M3,9.90,0.68,0.10,12.54
cyano,20181016W1,NA,0.52,0.11,0.61
cyano,20181016W2,13.56,0.36,0.02,0.00
cyano,20181016W3,15.11,0.29,0.03,8.70
cyano,20181022M1,12.08,0.28,0.00,13.24
cyano,20181022M2,11.65,0.34,0.01,14.63
cyano,20181022M3,11.71,0.28,0.00,14.39
cyano,20181022W1,10.78,0.31,0.03,7.70
cyano,20181022W2,11.30,0.33,0.02,8.46
cyano,20181022W3,11.02,0.31,0.08,7.97
cyano,20181024Y1,2.53,0.00,0.27,1.03
cyano,20181024Y2,2.38,0.05,0.35,0.80
cyano,20181024Y3,2.46,0.00,0.32,1.04
cyano,20181030M1,12.18,0.28,0.11,17.71
cyano,20181030M2,11.59,0.25,0.01,17.21
cyano,20181030M3,11.63,0.26,0.00,17.66
cyano,20181030W1,0.00,0.28,0.03,0.00
cyano,20181030W2,0.00,0.34,0.09,0.00
cyano,20181030W3,6.76,0.30,0.10,NA
cyano,20181031Y1,1.57,0.00,0.25,1.57
cyano,20181031Y2,1.48,0.00,0.26,1.40
cyano,20181031Y3,1.50,0.00,0.28,1.30
cyano,20181108M1,11.35,0.33,0.08,18.94
cyano,20181108M2,12.44,0.27,0.08,19.25
cyano,20181108M3,11.32,0.25,0.11,18.40
cyano,20181108W1,0.00,0.29,0.11,13.017
cyano,20181108W2,5.72,0.29,0.03,15.362
cyano,20181108W3,5.21,0.29,0.07,14.918
cyano,20181203M1,14.63,0.28,0.10,23.98
cyano,20181203M2,15.16,0.28,0.09,24.44
cyano,20181203M3,15.10,0.34,0.09,23.39
cyano,20181203W1,4.31,0.23,0.10,22.16
cyano,20181203W2,4.04,0.20,0.11,20.98
cyano,20181203W3,4.68,0.31,0.04,23.07
