"project
name","sample
id","sample
matrix","analytes
requested",ammonia_uM/liter,orthophosphate_uM/liter
cyano,20170821W2,freshwater,NH4/PO4,0.70,0.13
cyano,20170821W3,freshwater,NH4/PO5,0.99,0.23
cyano,20170821Y1,freshwater,NH4/PO6,0.75,0.07
cyano,20170821Y2,freshwater,NH4/PO7,0.55,0.00
cyano,20170821Y3,freshwater,NH4/PO8,0.53,0.00
cyano,20170824W1,freshwater,NH4/PO9,0.59,0.29
cyano,20170824W2,freshwater,NH4/PO10,0.62,0.35
cyano,20170824W3,freshwater,NH4/PO11,0.59,0.23
cyano,20170824Y1,freshwater,NH4/PO12,0.69,0.06
cyano,20170824Y2,freshwater,NH4/PO13,0.43,0.00
cyano,20170824Y3,freshwater,NH4/PO14,0.40,0.00
cyano,20170828W1,freshwater,NH4/PO15,0.53,0.36
cyano,20170828W2,freshwater,NH4/PO16,0.54,0.35
cyano,20170828W3,freshwater,NH4/PO17,2.99,2.25
cyano,20170828Y1,freshwater,NH4/PO18,0.80,0.00
cyano,20170828Y2,freshwater,NH4/PO19,0.72,0.00
cyano,20170828Y3,freshwater,NH4/PO20,0.94,0.00
cyano,20170830W1,freshwater,NH4/PO21,0.88,0.39
cyano,20170830W2,freshwater,NH4/PO22,0.65,0.31
cyano,20170830W3,freshwater,NH4/PO23,0.51,0.14
cyano,20170830Y1,freshwater,NH4/PO24,0.57,0.00
cyano,20170830Y2,freshwater,NH4/PO25,0.61,0.00
cyano,20170830Y3,freshwater,NH4/PO26,0.47,0.00
cyano,20170905W1,freshwater,NH4/PO27,0.85,0.27
cyano,20170905W2,freshwater,NH4/PO28,0.73,0.21
cyano,20170905W3,freshwater,NH4/PO29,0.69,0.04
cyano,20170905Y1,freshwater,NH4/PO30,0.35,0.00
cyano,20170905Y2,freshwater,NH4/PO31,0.47,0.00
cyano,20170905Y3,freshwater,NH4/PO32,0.48,0.00
cyano,20170907W1,freshwater,NH4/PO33,0.77,0.19
cyano,20170907W2,freshwater,NH4/PO34,0.74,0.07
cyano,20170907W3,freshwater,NH4/PO35,0.80,0.04
cyano,20170907Y1,freshwater,NH4/PO36,0.54,0.00
cyano,20170907Y2,freshwater,NH4/PO37,0.77,0.00
cyano,20170907Y3,freshwater,NH4/PO38,0.41,0.00
cyano,20170912W1,freshwater,NH4/PO39,0.79,0.09
cyano,20170912W2,freshwater,NH4/PO40,0.71,0.12
cyano,20170912W3,freshwater,NH4/PO41,0.87,0.01
cyano,20170912Y1,freshwater,NH4/PO42,0.41,0.00
cyano,20170912Y2,freshwater,NH4/PO43,0.41,0.00
cyano,20170912Y3,freshwater,NH4/PO44,0.48,0.00
cyano,20170914W1,freshwater,NH4/PO45,0.88,0.19
