,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,5828.49,RFU,na,solid std,na,na,phyco_rfu,17,10,2019,na
SAMPLE-002,336.45,RFU,mashapaug,blank,int,1,blank,14,8,2019,na
SAMPLE-003,337.94,RFU,mashapaug,blank,int,2,blank,14,8,2019,na
SAMPLE-004,431.1,RFU,mashapaug,1,int,1,phyco_rfu,14,8,2019,75
SAMPLE-005,477.12,RFU,mashapaug,1,int,2,phyco_rfu,14,8,2019,75
SAMPLE-007,528.1,RFU,mashapaug,2,int,1,phyco_rfu,14,8,2019,75
SAMPLE-008,432.37,RFU,mashapaug,2,int,2,phyco_rfu,14,8,2019,75
AMPLE-009,478.6,RFU,mashapaug,3,int,1,phyco_rfu,14,8,2019,75
SAMPLE-010,475.83,RFU,mashapaug,3,int,2,phyco_rfu,14,8,2019,75
SAMPLE-011,458.75,RFU,mashapaug,4,int,1,phyco_rfu,14,8,2019,75
SAMPLE-012,446.02,RFU,mashapaug,4,int,2,phyco_rfu,14,8,2019,75
SAMPLE-013,504.02,RFU,mashapaug,5,int,1,phyco_rfu,14,8,2019,75
SAMPLE-014,521.93,RFU,mashapaug,5,int,2,phyco_rfu,14,8,2019,75
SAMPLE-015,482.83,RFU,mashapaug,6,int,1,phyco_rfu,14,8,2019,75
SAMPLE-016,486.93,RFU,mashapaug,6,int,2,phyco_rfu,14,8,2019,75
SAMPLE-017,470.56,RFU,mashapaug,p,int,1,phyco_rfu,14,8,2019,75
SAMPLE-018,457.19,RFU,mashapaug,p,int,2,phyco_rfu,14,8,2019,75
SAMPLE-019,456.61,RFU,mashapaug,p,int,3,phyco_rfu,14,8,2019,75
SAMPLE-020,339.74,RFU,warwick,blank,int,1,blank,14,8,2019,na
SAMPLE-021,335.27,RFU,warwick,blank,int,2,blank,14,8,2019,na
SAMPLE-023,346.87,RFU,warwick,1,int,1,phyco_rfu,14,8,2019,100
SAMPLE-024,361.32,RFU,warwick,1,int,2,phyco_rfu,14,8,2019,100
SAMPLE-026,341.16,RFU,warwick,2,int,1,phyco_rfu,14,8,2019,100
SAMPLE-027,351.08,RFU,warwick,2,int,2,phyco_rfu,14,8,2019,100
SAMPLE-029,342.85,RFU,warwick,3,int,1,phyco_rfu,14,8,2019,100
SAMPLE-030,343.61,RFU,warwick,3,int,2,phyco_rfu,14,8,2019,100
SAMPLE-031,340.47,RFU,warwick,4,int,1,phyco_rfu,14,8,2019,100
SAMPLE-032,339.99,RFU,warwick,4,int,2,phyco_rfu,14,8,2019,100
SAMPLE-033,351.16,RFU,warwick,5,int,1,phyco_rfu,14,8,2019,100
AMPLE-034,341.96,RFU,warwick,5,int,2,phyco_rfu,14,8,2019,100
SAMPLE-035,343.43,RFU,warwick,6,int,1,phyco_rfu,14,8,2019,100
SAMPLE-036,344.58,RFU,warwick,6,int,2,phyco_rfu,14,8,2019,100
SAMPLE-037,346.41,RFU,warwick,p,int,1,phyco_rfu,14,8,2019,100
AMPLE-038,345.55,RFU,warwick,p,int,2,phyco_rfu,14,8,2019,100
SAMPLE-039,351.6,RFU,warwick,p,int,3,phyco_rfu,14,8,2019,100
SAMPLE-040,343.82,RFU,mashapaug,blank,int,1,blank,21,8,2019,na
SAMPLE-043,334.16,RFU,mashapaug,blank,int,2,blank,21,8,2019,na
AMPLE-044,446.25,RFU,mashapaug,1,int,1,phyco_rfu,21,8,2019,100
SAMPLE-045,453.52,RFU,mashapaug,1,int,2,phyco_rfu,21,8,2019,100
SAMPLE-046,445.58,RFU,mashapaug,2,int,1,phyco_rfu,21,8,2019,100
SAMPLE-047,455.7,RFU,mashapaug,2,int,2,phyco_rfu,21,8,2019,100
SAMPLE-048,433.08,RFU,mashapaug,3,int,1,phyco_rfu,21,8,2019,100
SAMPLE-049,440.79,RFU,mashapaug,3,int,2,phyco_rfu,21,8,2019,100
SAMPLE-050,472.67,RFU,mashapaug,4,int,1,phyco_rfu,21,8,2019,100
SAMPLE-052,464.47,RFU,mashapaug,4,int,2,phyco_rfu,21,8,2019,100
SAMPLE-053,468.47,RFU,mashapaug,5,int,1,phyco_rfu,21,8,2019,100
SAMPLE-054,506.66,RFU,mashapaug,5,int,2,phyco_rfu,21,8,2019,100
SAMPLE-056,516.14,RFU,mashapaug,6,int,1,phyco_rfu,21,8,2019,100
AMPLE-057,481.71,RFU,mashapaug,6,int,2,phyco_rfu,21,8,2019,100
SAMPLE-058,476.93,RFU,mashapaug,p,int,1,phyco_rfu,21,8,2019,100
SAMPLE-059,469.96,RFU,mashapaug,p,int,2,phyco_rfu,21,8,2019,100
SAMPLE-060,465.41,RFU,mashapaug,p,int,3,phyco_rfu,21,8,2019,100
SAMPLE-061,349.41,RFU,warwick,blank,int,1,blank,21,8,2019,na
SAMPLE-065,350.71,RFU,warwick,blank,int,2,blank,21,8,2019,na
SAMPLE-066,356.16,RFU,warwick,1,int,1,phyco_rfu,21,8,2019,100
SAMPLE-067,345.91,RFU,warwick,1,int,2,phyco_rfu,21,8,2019,100
AMPLE-068,354.89,RFU,warwick,2,int,1,phyco_rfu,21,8,2019,100
SAMPLE-069,351.51,RFU,warwick,2,int,2,phyco_rfu,21,8,2019,100
SAMPLE-071,353.51,RFU,warwick,3,int,1,phyco_rfu,21,8,2019,100
SAMPLE-072,353.17,RFU,warwick,3,int,2,phyco_rfu,21,8,2019,100
SAMPLE-073,368.53,RFU,warwick,4,int,1,phyco_rfu,21,8,2019,100
AMPLE-074,352.03,RFU,warwick,4,int,2,phyco_rfu,21,8,2019,100
SAMPLE-075,352.64,RFU,warwick,5,int,1,phyco_rfu,21,8,2019,100
SAMPLE-076,346.41,RFU,warwick,5,int,2,phyco_rfu,21,8,2019,100
SAMPLE-077,350.07,RFU,warwick,6,int,1,phyco_rfu,21,8,2019,100
SAMPLE-078,355.98,RFU,warwick,6,int,2,phyco_rfu,21,8,2019,100
SAMPLE-079,352.26,RFU,warwick,p,int,1,phyco_rfu,21,8,2019,100
SAMPLE-080,348.64,RFU,warwick,p,int,2,phyco_rfu,21,8,2019,100
SAMPLE-081,348.61,RFU,warwick,p,int,3,phyco_rfu,21,8,2019,100
SAMPLE-082,5581.42,RFU,na,solid std,na,na,phyco_rfu,17,10,2019,na
