,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,5679.29,RFU,na,solid std,na,na,phyco_rfu,6,2,2020,na
SAMPLE-002,351.06,RFU,yawgoo,blank,int,1,blank,21,10,2019,na
SAMPLE-004,348.04,RFU,yawgoo,blank,int,2,blank,21,10,2019,na
SAMPLE-005,350.66,RFU,yawgoo,1,int,1,phyco_rfu,21,10,2019,300
SAMPLE-006,352.68,RFU,yawgoo,1,int,2,phyco_rfu,21,10,2019,300
SAMPLE-007,363.12,RFU,yawgoo,2,int,1,phyco_rfu,21,10,2019,300
SAMPLE-008,347.63,RFU,yawgoo,2,int,2,phyco_rfu,21,10,2019,300
SAMPLE-009,356.83,RFU,yawgoo,3,int,1,phyco_rfu,21,10,2019,300
SAMPLE-010,353.23,RFU,yawgoo,3,int,2,phyco_rfu,21,10,2019,300
SAMPLE-011,348.82,RFU,yawgoo,4,int,1,phyco_rfu,21,10,2019,300
SAMPLE-012,346.13,RFU,yawgoo,4,int,2,phyco_rfu,21,10,2019,300
SAMPLE-013,356.05,RFU,yawgoo,5,int,1,phyco_rfu,21,10,2019,300
SAMPLE-014,356.04,RFU,yawgoo,5,int,2,phyco_rfu,21,10,2019,300
SAMPLE-015,357.33,RFU,yawgoo,6,int,1,phyco_rfu,21,10,2019,300
SAMPLE-016,351.13,RFU,yawgoo,6,int,2,phyco_rfu,21,10,2019,300
SAMPLE-017,353.15,RFU,yawgoo,p,int,1,phyco_rfu,21,10,2019,300
AMPLE-018,350.52,RFU,yawgoo,p,int,2,phyco_rfu,21,10,2019,300
SAMPLE-019,350.17,RFU,yawgoo,p,int,3,phyco_rfu,21,10,2019,300
SAMPLE-020,341.53,RFU,mashapaug,blank,int,1,blank,23,10,2019,na
SAMPLE-021,339.66,RFU,mashapaug,blank,int,2,blank,23,10,2019,na
SAMPLE-022,548.94,RFU,mashapaug,1,int,1,phyco_rfu,23,10,2019,75
SAMPLE-023,545.09,RFU,mashapaug,1,int,2,phyco_rfu,23,10,2019,75
AMPLE-024,552.02,RFU,mashapaug,2,int,1,phyco_rfu,23,10,2019,75
SAMPLE-025,556.12,RFU,mashapaug,2,int,2,phyco_rfu,23,10,2019,75
SAMPLE-026,618.33,RFU,mashapaug,3,int,1,phyco_rfu,23,10,2019,75
SAMPLE-027,625.06,RFU,mashapaug,3,int,2,phyco_rfu,23,10,2019,75
SAMPLE-029,589.48,RFU,mashapaug,4,int,1,phyco_rfu,23,10,2019,75
SAMPLE-030,582.95,RFU,mashapaug,4,int,2,phyco_rfu,23,10,2019,75
SAMPLE-031,532.88,RFU,mashapaug,5,int,1,phyco_rfu,23,10,2019,75
SAMPLE-032,579.14,RFU,mashapaug,5,int,2,phyco_rfu,23,10,2019,75
SAMPLE-033,557.45,RFU,mashapaug,6,int,1,phyco_rfu,23,10,2019,75
SAMPLE-034,552.44,RFU,mashapaug,6,int,2,phyco_rfu,23,10,2019,75
SAMPLE-035,535.79,RFU,mashapaug,p,int,1,phyco_rfu,23,10,2019,75
SAMPLE-036,500.12,RFU,mashapaug,p,int,2,phyco_rfu,23,10,2019,75
SAMPLE-037,543.53,RFU,mashapaug,p,int,3,phyco_rfu,23,10,2019,75
SAMPLE-038,336.63,RFU,warwick,blank,int,1,blank,23,10,2019,na
SAMPLE-039,345.34,RFU,warwick,blank,int,2,blank,23,10,2019,na
AMPLE-040,342.57,RFU,warwick,1,int,1,phyco_rfu,23,10,2019,50
SAMPLE-041,358.44,RFU,warwick,1,int,2,phyco_rfu,23,10,2019,50
SAMPLE-042,363.68,RFU,warwick,2,int,1,phyco_rfu,23,10,2019,50
SAMPLE-043,348.46,RFU,warwick,2,int,2,phyco_rfu,23,10,2019,50
SAMPLE-044,349.03,RFU,warwick,3,int,1,phyco_rfu,23,10,2019,50
SAMPLE-045,349.93,RFU,warwick,3,int,2,phyco_rfu,23,10,2019,50
SAMPLE-046,359.27,RFU,warwick,4,int,1,phyco_rfu,23,10,2019,50
SAMPLE-047,357.11,RFU,warwick,4,int,2,phyco_rfu,23,10,2019,50
SAMPLE-048,345.54,RFU,warwick,5,int,1,phyco_rfu,23,10,2019,50
SAMPLE-049,346.19,RFU,warwick,5,int,2,phyco_rfu,23,10,2019,50
SAMPLE-050,337.5,RFU,warwick,6,int,1,phyco_rfu,23,10,2019,50
SAMPLE-051,338.92,RFU,warwick,6,int,2,phyco_rfu,23,10,2019,50
SAMPLE-052,341.61,RFU,warwick,p,int,1,phyco_rfu,23,10,2019,50
SAMPLE-053,341.51,RFU,warwick,p,int,2,phyco_rfu,23,10,2019,50
SAMPLE-054,342.97,RFU,warwick,p,int,3,phyco_rfu,23,10,2019,50
SAMPLE-055,338.89,RFU,mashapaug,blank,int,1,blank,28,10,2019,na
SAMPLE-056,356.06,RFU,mashapaug,blank,int,2,blank,28,10,2019,na
SAMPLE-057,437,RFU,mashapaug,1,int,1,phyco_rfu,28,10,2019,75
SAMPLE-058,458.04,RFU,mashapaug,1,int,2,phyco_rfu,28,10,2019,75
SAMPLE-059,466.12,RFU,mashapaug,2,int,1,phyco_rfu,28,10,2019,75
SAMPLE-060,472.47,RFU,mashapaug,2,int,2,phyco_rfu,28,10,2019,75
SAMPLE-061,458.27,RFU,mashapaug,3,int,1,phyco_rfu,28,10,2019,75
SAMPLE-062,461.32,RFU,mashapaug,3,int,2,phyco_rfu,28,10,2019,75
SAMPLE-063,477.73,RFU,mashapaug,4,int,1,phyco_rfu,28,10,2019,75
SAMPLE-064,504.65,RFU,mashapaug,4,int,2,phyco_rfu,28,10,2019,75
SAMPLE-065,451.42,RFU,mashapaug,5,int,1,phyco_rfu,28,10,2019,75
SAMPLE-066,429.55,RFU,mashapaug,5,int,2,phyco_rfu,28,10,2019,75
SAMPLE-067,455.7,RFU,mashapaug,6,int,1,phyco_rfu,28,10,2019,75
AMPLE-068,457.88,RFU,mashapaug,6,int,2,phyco_rfu,28,10,2019,75
SAMPLE-069,452.08,RFU,mashapaug,p,int,1,phyco_rfu,28,10,2019,75
SAMPLE-070,512.41,RFU,mashapaug,p,int,2,phyco_rfu,28,10,2019,75
SAMPLE-071,465.45,RFU,mashapaug,p,int,3,phyco_rfu,28,10,2019,75
SAMPLE-073,5518.76,RFU,na,solid std,na,na,phyco_rfu,6,2,2020,na
