,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,5938.33,RFU,na,solid std,na,na,phyco_rfu,5,12,2019,na
SAMPLE-002,382.41,RFU,mashapaug,blank,int,1,blank,11,9,2019,na
SAMPLE-003,361.4,RFU,mashapaug,blank,int,2,blank,11,9,2019,na
SAMPLE-005,512.37,RFU,mashapaug,1,int,1,phyco_rfu,11,9,2019,75
SAMPLE-006,501.38,RFU,mashapaug,1,int,2,phyco_rfu,11,9,2019,75
AMPLE-007,507.79,RFU,mashapaug,2,int,1,phyco_rfu,11,9,2019,75
SAMPLE-008,488.55,RFU,mashapaug,2,int,2,phyco_rfu,11,9,2019,75
SAMPLE-009,494.98,RFU,mashapaug,3,int,1,phyco_rfu,11,9,2019,75
SAMPLE-010,528.05,RFU,mashapaug,3,int,2,phyco_rfu,11,9,2019,75
SAMPLE-011,567.71,RFU,mashapaug,4,int,1,phyco_rfu,11,9,2019,75
SAMPLE-012,525.24,RFU,mashapaug,4,int,2,phyco_rfu,11,9,2019,75
SAMPLE-013,485.06,RFU,mashapaug,5,int,1,phyco_rfu,11,9,2019,75
SAMPLE-014,468.22,RFU,mashapaug,5,int,2,phyco_rfu,11,9,2019,75
SAMPLE-015,493.29,RFU,mashapaug,6,int,1,phyco_rfu,11,9,2019,75
SAMPLE-016,524.48,RFU,mashapaug,6,int,2,phyco_rfu,11,9,2019,75
SAMPLE-017,581.72,RFU,mashapaug,p,int,1,phyco_rfu,11,9,2019,75
SAMPLE-018,547.59,RFU,mashapaug,p,int,2,phyco_rfu,11,9,2019,75
SAMPLE-019,550.03,RFU,mashapaug,p,int,3,phyco_rfu,11,9,2019,75
SAMPLE-020,339.78,RFU,warwick,blank,int,1,blank,11,9,2019,na
SAMPLE-021,344.07,RFU,warwick,blank,int,2,blank,11,9,2019,na
SAMPLE-022,339.86,RFU,warwick,1,int,1,phyco_rfu,11,9,2019,50
SAMPLE-023,354.31,RFU,warwick,1,int,2,phyco_rfu,11,9,2019,50
SAMPLE-024,339.62,RFU,warwick,2,int,1,phyco_rfu,11,9,2019,50
SAMPLE-025,341.96,RFU,warwick,2,int,2,phyco_rfu,11,9,2019,50
SAMPLE-026,341.32,RFU,warwick,3,int,1,phyco_rfu,11,9,2019,50
SAMPLE-027,346.55,RFU,warwick,3,int,2,phyco_rfu,11,9,2019,50
SAMPLE-028,354.04,RFU,warwick,4,int,1,phyco_rfu,11,9,2019,50
SAMPLE-029,344.85,RFU,warwick,4,int,2,phyco_rfu,11,9,2019,50
SAMPLE-030,347.18,RFU,warwick,5,int,1,phyco_rfu,11,9,2019,50
SAMPLE-031,346.18,RFU,warwick,5,int,2,phyco_rfu,11,9,2019,50
SAMPLE-032,352.38,RFU,warwick,6,int,1,phyco_rfu,11,9,2019,50
SAMPLE-033,344.39,RFU,warwick,6,int,2,phyco_rfu,11,9,2019,50
SAMPLE-034,344.64,RFU,warwick,p,int,1,phyco_rfu,11,9,2019,50
SAMPLE-035,350.96,RFU,warwick,p,int,2,phyco_rfu,11,9,2019,50
SAMPLE-036,346.24,RFU,warwick,p,int,3,phyco_rfu,11,9,2019,50
SAMPLE-037,336.75,RFU,mashapaug,blank,int,1,blank,16,9,2019,na
SAMPLE-038,349.59,RFU,mashapaug,blank,int,2,blank,16,9,2019,na
SAMPLE-039,583.75,RFU,mashapaug,1,int,1,phyco_rfu,16,9,2019,75
SAMPLE-040,606.21,RFU,mashapaug,1,int,2,phyco_rfu,16,9,2019,75
SAMPLE-042,663.19,RFU,mashapaug,2,int,1,phyco_rfu,16,9,2019,75
SAMPLE-043,672.49,RFU,mashapaug,2,int,2,phyco_rfu,16,9,2019,75
SAMPLE-044,639.86,RFU,mashapaug,3,int,1,phyco_rfu,16,9,2019,75
SAMPLE-045,705.65,RFU,mashapaug,3,int,2,phyco_rfu,16,9,2019,75
SAMPLE-047,577.34,RFU,mashapaug,4,int,1,phyco_rfu,16,9,2019,75
SAMPLE-048,593.42,RFU,mashapaug,4,int,2,phyco_rfu,16,9,2019,75
SAMPLE-049,492.81,RFU,mashapaug,5,int,1,phyco_rfu,16,9,2019,75
SAMPLE-050,483.19,RFU,mashapaug,5,int,2,phyco_rfu,16,9,2019,75
SAMPLE-051,496.99,RFU,mashapaug,6,int,1,phyco_rfu,16,9,2019,75
SAMPLE-052,473.38,RFU,mashapaug,6,int,2,phyco_rfu,16,9,2019,75
SAMPLE-053,505.22,RFU,mashapaug,p,int,1,phyco_rfu,16,9,2019,75
SAMPLE-054,550.91,RFU,mashapaug,p,int,2,phyco_rfu,16,9,2019,75
SAMPLE-056,527.97,RFU,mashapaug,p,int,3,phyco_rfu,16,9,2019,75
SAMPLE-057,359.41,RFU,warwick,blank,int,1,blank,16,9,2019,na
SAMPLE-058,376.29,RFU,warwick,blank,int,2,blank,16,9,2019,na
SAMPLE-059,359.85,RFU,warwick,1,int,1,phyco_rfu,16,9,2019,50
AMPLE-060,436.74,RFU,warwick,1,int,2,phyco_rfu,16,9,2019,50
SAMPLE-061,374.95,RFU,warwick,2,int,1,phyco_rfu,16,9,2019,50
AMPLE-062,353.47,RFU,warwick,2,int,2,phyco_rfu,16,9,2019,50
SAMPLE-063,351.39,RFU,warwick,3,int,1,phyco_rfu,16,9,2019,50
SAMPLE-064,339.32,RFU,warwick,3,int,2,phyco_rfu,16,9,2019,50
SAMPLE-065,344.69,RFU,warwick,4,int,1,phyco_rfu,16,9,2019,50
SAMPLE-066,341.43,RFU,warwick,4,int,2,phyco_rfu,16,9,2019,50
SAMPLE-067,338.46,RFU,warwick,5,int,1,phyco_rfu,16,9,2019,50
SAMPLE-068,340.55,RFU,warwick,5,int,2,phyco_rfu,16,9,2019,50
SAMPLE-069,343.71,RFU,warwick,6,int,1,phyco_rfu,16,9,2019,50
SAMPLE-070,350.47,RFU,warwick,6,int,2,phyco_rfu,16,9,2019,50
SAMPLE-071,355.66,RFU,warwick,p,int,1,phyco_rfu,16,9,2019,50
SAMPLE-072,402.43,RFU,warwick,p,int,2,phyco_rfu,16,9,2019,50
SAMPLE-073,372.49,RFU,warwick,p,int,3,phyco_rfu,16,9,2019,50
SAMPLE-074,5658.23,RFU,na,solid std,na,na,phyco_rfu,5,12,2019,na
