,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,
SAMPLE-001,5951.54,RFU,na,solid std,na,na,phyco_rfu,10,10,2019,na,
SAMPLE-002,350.68,RFU,mashapaug,blank,int,1,blank,8,8,2019,na,
SAMPLE-003,342.53,RFU,mashapaug,blank,int,2,blank,8,8,2019,na,
SAMPLE-004,389.32,RFU,mashapaug,1,int,1,phyco_rfu,8,8,2019,75,
SAMPLE-005,403.93,RFU,mashapaug,1,int,2,phyco_rfu,8,8,2019,75,
SAMPLE-006,409.84,RFU,mashapaug,2,int,1,phyco_rfu,8,8,2019,75,
SAMPLE-007,407.47,RFU,mashapaug,2,int,2,phyco_rfu,8,8,2019,75,
AMPLE-008,384.14,RFU,mashapaug,3,int,1,phyco_rfu,8,8,2019,75,
SAMPLE-009,418.67,RFU,mashapaug,3,int,2,phyco_rfu,8,8,2019,75,
SAMPLE-010,399.66,RFU,mashapaug,4,int,1,phyco_rfu,8,8,2019,75,
SAMPLE-011,384.64,RFU,mashapaug,4,int,2,phyco_rfu,8,8,2019,75,
SAMPLE-012,397.34,RFU,mashapaug,5,int,1,phyco_rfu,8,8,2019,75,
SAMPLE-013,401.98,RFU,mashapaug,5,int,2,phyco_rfu,8,8,2019,75,
SAMPLE-014,407.06,RFU,mashapaug,6,int,1,phyco_rfu,8,8,2019,75,sediment on filter
SAMPLE-015,395.67,RFU,mashapaug,6,int,2,phyco_rfu,8,8,2019,75,
SAMPLE-016,382.27,RFU,mashapaug,p,int,1,phyco_rfu,8,8,2019,75,
SAMPLE-017,383.01,RFU,mashapaug,p,int,2,phyco_rfu,8,8,2019,75,
SAMPLE-018,384.41,RFU,mashapaug,p,int,3,phyco_rfu,8,8,2019,75,
SAMPLE-019,343.98,RFU,warwick,blank,int,1,blank,8,8,2019,na,
SAMPLE-020,342.03,RFU,warwick,blank,int,2,blank,8,8,2019,na,
SAMPLE-021,339.6,RFU,warwick,1,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-022,339.87,RFU,warwick,1,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-023,337.58,RFU,warwick,2,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-024,342.99,RFU,warwick,2,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-025,344.77,RFU,warwick,3,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-026,357.05,RFU,warwick,3,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-027,338.08,RFU,warwick,4,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-028,357.52,RFU,warwick,4,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-029,340.4,RFU,warwick,5,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-030,357.69,RFU,warwick,5,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-031,344.51,RFU,warwick,6,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-032,341.67,RFU,warwick,6,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-033,334.28,RFU,warwick,p,int,1,phyco_rfu,8,8,2019,100,
SAMPLE-034,338.17,RFU,warwick,p,int,2,phyco_rfu,8,8,2019,100,
SAMPLE-036,343.46,RFU,warwick,p,int,3,phyco_rfu,8,8,2019,100,
SAMPLE-037,349.12,RFU,mashapaug,blank,int,1,blank,12,8,2019,na,
SAMPLE-038,340.26,RFU,mashapaug,blank,int,2,blank,12,8,2019,na,
SAMPLE-040,409.68,RFU,mashapaug,1,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-041,411.36,RFU,mashapaug,1,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-042,412.54,RFU,mashapaug,2,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-043,426.76,RFU,mashapaug,2,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-044,430.45,RFU,mashapaug,3,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-045,431.6,RFU,mashapaug,3,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-046,429.35,RFU,mashapaug,4,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-047,406.71,RFU,mashapaug,4,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-048,443.42,RFU,mashapaug,5,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-049,449.57,RFU,mashapaug,5,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-050,456.11,RFU,mashapaug,6,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-051,456.09,RFU,mashapaug,6,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-052,417.7,RFU,mashapaug,p,int,1,phyco_rfu,12,8,2019,75,
SAMPLE-053,418.4,RFU,mashapaug,p,int,2,phyco_rfu,12,8,2019,75,
SAMPLE-054,409.21,RFU,mashapaug,p,int,3,phyco_rfu,12,8,2019,75,
SAMPLE-055,337.1,RFU,warwick,blank,int,1,blank,12,8,2019,na,
SAMPLE-057,335.2,RFU,warwick,blank,int,2,blank,12,8,2019,na,
SAMPLE-058,340.19,RFU,warwick,1,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-059,343.91,RFU,warwick,1,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-061,346.12,RFU,warwick,2,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-062,349.4,RFU,warwick,2,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-063,359.01,RFU,warwick,3,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-064,350.61,RFU,warwick,3,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-065,346.89,RFU,warwick,4,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-066,357.19,RFU,warwick,4,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-067,354.34,RFU,warwick,5,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-068,350.01,RFU,warwick,5,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-069,344.78,RFU,warwick,6,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-070,356.3,RFU,warwick,6,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-071,360.4,RFU,warwick,p,int,1,phyco_rfu,12,8,2019,100,
SAMPLE-072,346.98,RFU,warwick,p,int,2,phyco_rfu,12,8,2019,100,
SAMPLE-073,342.12,RFU,warwick,p,int,3,phyco_rfu,12,8,2019,100,
SAMPLE-075,5025.06,RFU,na,solid std,na,na,phyco_rfu,10,10,2019,na,
