,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,
SAMPLE-001,5823.49,RFU,na,solid std,na,na,phyco_rfu,3,2,2020,na,
SAMPLE-002,336.28,RFU,yawgoo,blank,int,1,blank,3,10,2019,na,
SAMPLE-003,336.97,RFU,yawgoo,blank,int,2,blank,3,10,2019,na,
SAMPLE-004,337.62,RFU,yawgoo,1,int,1,phyco_rfu,3,10,2019,300,
SAMPLE-005,350.2,RFU,yawgoo,1,int,2,phyco_rfu,3,10,2019,300,
SAMPLE-006,348.52,RFU,yawgoo,2,int,1,phyco_rfu,3,10,2019,300,
SAMPLE-007,347.03,RFU,yawgoo,2,int,2,phyco_rfu,3,10,2019,300,
SAMPLE-008,339.88,RFU,yawgoo,3,int,1,phyco_rfu,3,10,2019,300,
SAMPLE-009,343.54,RFU,yawgoo,3,int,2,phyco_rfu,3,10,2019,300,
SAMPLE-010,350.48,RFU,yawgoo,4,int,1,phyco_rfu,3,10,2019,300,
SAMPLE-011,456.07,RFU,yawgoo,4,int,2,phyco_rfu,3,10,2019,300,sediment
SAMPLE-012,391.29,RFU,yawgoo,5,int,1,phyco_rfu,3,10,2019,300,sediment
SAMPLE-013,352.03,RFU,yawgoo,5,int,2,phyco_rfu,3,10,2019,300,
SAMPLE-014,349.72,RFU,yawgoo,6,int,1,phyco_rfu,3,10,2019,300,
SAMPLE-015,341.54,RFU,yawgoo,6,int,2,phyco_rfu,3,10,2019,300,
SAMPLE-016,338.73,RFU,yawgoo,p,int,1,phyco_rfu,3,10,2019,300,
SAMPLE-017,333.47,RFU,yawgoo,p,int,2,phyco_rfu,3,10,2019,300,
SAMPLE-018,334.52,RFU,yawgoo,p,int,3,phyco_rfu,3,10,2019,300,
SAMPLE-019,336.97,RFU,mashapaug,blank,int,1,blank,7,10,2019,na,
SAMPLE-020,341.07,RFU,mashapaug,blank,int,2,blank,7,10,2019,na,
SAMPLE-021,405.15,RFU,mashapaug,1,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-022,405.41,RFU,mashapaug,1,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-023,436.93,RFU,mashapaug,2,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-024,416.26,RFU,mashapaug,2,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-025,414.22,RFU,mashapaug,3,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-026,458.98,RFU,mashapaug,3,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-027,464.04,RFU,mashapaug,4,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-028,436.69,RFU,mashapaug,4,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-029,416.45,RFU,mashapaug,5,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-030,421.66,RFU,mashapaug,5,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-031,411.98,RFU,mashapaug,6,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-032,438.71,RFU,mashapaug,6,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-033,429.4,RFU,mashapaug,p,int,1,phyco_rfu,7,10,2019,75,
SAMPLE-034,446.25,RFU,mashapaug,p,int,2,phyco_rfu,7,10,2019,75,
SAMPLE-035,443.13,RFU,mashapaug,p,int,3,phyco_rfu,7,10,2019,75,
SAMPLE-038,343.76,RFU,warwick,blank,int,1,blank,7,10,2019,na,
AMPLE-039,342.88,RFU,warwick,blank,int,2,blank,7,10,2019,na,
SAMPLE-040,334.99,RFU,warwick,1,int,1,phyco_rfu,7,10,2019,50,
SAMPLE-041,334.1,RFU,warwick,1,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-042,327.25,RFU,warwick,2,int,1,phyco_rfu,7,10,2019,50,
SAMPLE-043,330.41,RFU,warwick,2,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-044,339.59,RFU,warwick,3,int,1,phyco_rfu,7,10,2019,50,
SAMPLE-045,334.01,RFU,warwick,3,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-046,345.78,RFU,warwick,4,int,1,phyco_rfu,7,10,2019,50,
AMPLE-047,343.6,RFU,warwick,4,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-048,334.7,RFU,warwick,5,int,1,phyco_rfu,7,10,2019,50,
SAMPLE-049,342.27,RFU,warwick,5,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-050,334.21,RFU,warwick,6,int,1,phyco_rfu,7,10,2019,50,
SAMPLE-051,341.84,RFU,warwick,6,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-052,336.92,RFU,warwick,p,int,1,phyco_rfu,7,10,2019,50,
SAMPLE-053,339.97,RFU,warwick,p,int,2,phyco_rfu,7,10,2019,50,
SAMPLE-054,336.07,RFU,warwick,p,int,3,phyco_rfu,7,10,2019,50,
SAMPLE-056,338.17,RFU,mashapaug,blank,int,1,blank,21,10,2019,na,
SAMPLE-057,341.8,RFU,mashapaug,blank,int,2,blank,21,10,2019,na,
SAMPLE-058,503.05,RFU,mashapaug,1,int,1,phyco_rfu,21,10,2019,75,
SAMPLE-059,558.44,RFU,mashapaug,1,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-060,525.31,RFU,mashapaug,2,int,1,phyco_rfu,21,10,2019,75,
SAMPLE-061,518.49,RFU,mashapaug,2,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-062,567.46,RFU,mashapaug,3,int,1,phyco_rfu,21,10,2019,75,
SAMPLE-063,566.86,RFU,mashapaug,3,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-064,504.53,RFU,mashapaug,4,int,1,phyco_rfu,21,10,2019,75,
AMPLE-065,528.21,RFU,mashapaug,4,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-066,509.23,RFU,mashapaug,5,int,1,phyco_rfu,21,10,2019,75,
SAMPLE-067,497.83,RFU,mashapaug,5,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-068,509.32,RFU,mashapaug,6,int,1,phyco_rfu,21,10,2019,75,
SAMPLE-069,504.99,RFU,mashapaug,6,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-070,482.43,RFU,mashapaug,p,int,1,phyco_rfu,21,10,2019,75,
SAMPLE-071,475.21,RFU,mashapaug,p,int,2,phyco_rfu,21,10,2019,75,
SAMPLE-072,544.15,RFU,mashapaug,p,int,3,phyco_rfu,21,10,2019,75,
AMPLE-074,5515.75,RFU,na,solid std,na,na,phyco_rfu,3,2,2020,na,
