,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,206.69,RFU,na,solid std,na,na,chla_rfu,5,12,2019,na
SAMPLE-002,0.76,RFU,warwick,blank,int,1,blank,7,10,2019,na
SAMPLE-003,0.85,RFU,warwick,blank,int,2,blank,7,10,2019,na
SAMPLE-004,505.02,RFU,warwick,1,int,1,chla_rfu,7,10,2019,50
SAMPLE-005,482.13,RFU,warwick,1,int,2,chla_rfu,7,10,2019,50
SAMPLE-006,461.01,RFU,warwick,2,int,1,chla_rfu,7,10,2019,50
SAMPLE-007,478.41,RFU,warwick,2,int,2,chla_rfu,7,10,2019,50
SAMPLE-008,362.93,RFU,warwick,3,int,1,chla_rfu,7,10,2019,50
SAMPLE-009,395.3,RFU,warwick,3,int,2,chla_rfu,7,10,2019,50
SAMPLE-010,403.75,RFU,warwick,4,int,1,chla_rfu,7,10,2019,50
SAMPLE-011,404.61,RFU,warwick,4,int,2,chla_rfu,7,10,2019,50
SAMPLE-012,470.12,RFU,warwick,5,int,1,chla_rfu,7,10,2019,50
SAMPLE-013,484.08,RFU,warwick,5,int,2,chla_rfu,7,10,2019,50
SAMPLE-014,453.26,RFU,warwick,6,int,1,chla_rfu,7,10,2019,50
SAMPLE-015,485.44,RFU,warwick,6,int,2,chla_rfu,7,10,2019,50
SAMPLE-016,415.9,RFU,warwick,p,int,1,chla_rfu,7,10,2019,50
SAMPLE-017,437.14,RFU,warwick,p,int,2,chla_rfu,7,10,2019,50
SAMPLE-018,423.18,RFU,warwick,p,int,3,chla_rfu,7,10,2019,50
SAMPLE-019,0.81,RFU,mashapaug,blank,int,1,blank,21,10,2019,na
SAMPLE-020,0.89,RFU,mashapaug,blank,int,2,blank,21,10,2019,na
SAMPLE-021,1882.18,RFU,mashapaug,1,int,1,chla_rfu,21,10,2019,75
SAMPLE-022,2063.41,RFU,mashapaug,1,int,2,chla_rfu,21,10,2019,75
SAMPLE-023,1919.45,RFU,mashapaug,2,int,1,chla_rfu,21,10,2019,75
SAMPLE-024,1925.85,RFU,mashapaug,2,int,2,chla_rfu,21,10,2019,75
SAMPLE-025,1912.1,RFU,mashapaug,3,int,1,chla_rfu,21,10,2019,75
SAMPLE-026,1886.94,RFU,mashapaug,3,int,2,chla_rfu,21,10,2019,75
SAMPLE-027,1829.4,RFU,mashapaug,4,int,1,chla_rfu,21,10,2019,75
SAMPLE-028,1875.18,RFU,mashapaug,4,int,2,chla_rfu,21,10,2019,75
SAMPLE-029,1997.31,RFU,mashapaug,5,int,1,chla_rfu,21,10,2019,75
SAMPLE-030,2017.42,RFU,mashapaug,5,int,2,chla_rfu,21,10,2019,75
SAMPLE-031,1824.25,RFU,mashapaug,6,int,1,chla_rfu,21,10,2019,75
SAMPLE-032,1837.6,RFU,mashapaug,6,int,2,chla_rfu,21,10,2019,75
SAMPLE-033,1906.24,RFU,mashapaug,p,int,1,chla_rfu,21,10,2019,75
SAMPLE-034,1747.99,RFU,mashapaug,p,int,2,chla_rfu,21,10,2019,75
SAMPLE-035,1793.82,RFU,mashapaug,p,int,3,chla_rfu,21,10,2019,75
SAMPLE-036,0.21,RFU,yawgoo,blank,int,1,blank,21,10,2019,na
SAMPLE-037,0.86,RFU,yawgoo,blank,int,2,blank,21,10,2019,na
SAMPLE-038,785.41,RFU,yawgoo,1,int,1,chla_rfu,21,10,2019,300
SAMPLE-039,810.23,RFU,yawgoo,1,int,2,chla_rfu,21,10,2019,300
SAMPLE-040,862.74,RFU,yawgoo,2,int,1,chla_rfu,21,10,2019,300
SAMPLE-041,897.05,RFU,yawgoo,2,int,2,chla_rfu,21,10,2019,300
AMPLE-042,509.18,RFU,yawgoo,3,int,1,chla_rfu,21,10,2019,300
SAMPLE-043,502.92,RFU,yawgoo,3,int,2,chla_rfu,21,10,2019,300
SAMPLE-044,403.96,RFU,yawgoo,4,int,1,chla_rfu,21,10,2019,300
SAMPLE-045,406.72,RFU,yawgoo,4,int,2,chla_rfu,21,10,2019,300
SAMPLE-046,789.17,RFU,yawgoo,5,int,1,chla_rfu,21,10,2019,300
SAMPLE-047,1084.23,RFU,yawgoo,5,int,2,chla_rfu,21,10,2019,300
SAMPLE-048,750.2,RFU,yawgoo,6,int,1,chla_rfu,21,10,2019,300
SAMPLE-049,758.71,RFU,yawgoo,6,int,2,chla_rfu,21,10,2019,300
SAMPLE-050,671.34,RFU,yawgoo,p,int,1,chla_rfu,21,10,2019,300
SAMPLE-051,677.59,RFU,yawgoo,p,int,2,chla_rfu,21,10,2019,300
AMPLE-052,647.43,RFU,yawgoo,p,int,3,chla_rfu,21,10,2019,300
