day,month,year,waterbody,site,depth,reps,variable,value
12,6,2017,yawgoo,6,int,1,filter_vol,400
12,6,2017,yawgoo,p,int,1,chla_rfu,na
12,6,2017,yawgoo,p,int,2,chla_rfu,na
12,6,2017,yawgoo,p,int,3,chla_rfu,na
12,6,2017,yawgoo,p,int,1,filter_vol,400
12,6,2017,warwick,blank,int,1,blank,0.45
12,6,2017,warwick,blank,int,2,blank,0.96
12,6,2017,warwick,1,int,1,chla_rfu,1868.22
12,6,2017,warwick,1,int,2,chla_rfu,1499.38
12,6,2017,warwick,1,int,1,filter_vol,300
12,6,2017,warwick,2,int,1,chla_rfu,1566.53
12,6,2017,warwick,2,int,2,chla_rfu,1808.26
12,6,2017,warwick,2,int,1,filter_vol,300
12,6,2017,warwick,3,int,1,chla_rfu,1555.05
12,6,2017,warwick,3,int,2,chla_rfu,1740.93
12,6,2017,warwick,3,int,1,filter_vol,300
12,6,2017,warwick,4,int,1,chla_rfu,2580.26
12,6,2017,warwick,4,int,2,chla_rfu,1859.42
12,6,2017,warwick,4,int,1,filter_vol,300
12,6,2017,warwick,5,int,1,chla_rfu,2412.11
12,6,2017,warwick,5,int,2,chla_rfu,2287.98
12,6,2017,warwick,5,int,1,filter_vol,300
12,6,2017,warwick,6,int,1,chla_rfu,1939.08
12,6,2017,warwick,6,int,2,chla_rfu,1609.07
12,6,2017,warwick,6,int,1,filter_vol,300
12,6,2017,warwick,p,int,1,chla_rfu,1944.58
12,6,2017,warwick,p,int,2,chla_rfu,1650.97
12,6,2017,warwick,p,int,3,chla_rfu,2134.41
12,6,2017,warwick,p,int,1,filter_vol,300
15,6,2017,yawgoo,blank,int,1,blank,0.76
15,6,2017,yawgoo,blank,int,2,blank,1.6
15,6,2017,yawgoo,1,int,1,chla_rfu,996.29
15,6,2017,yawgoo,1,int,2,chla_rfu,852.1
15,6,2017,yawgoo,1,int,1,filter_vol,400
15,6,2017,yawgoo,2,int,1,chla_rfu,1651.84
15,6,2017,yawgoo,2,int,2,chla_rfu,1235.64
15,6,2017,yawgoo,2,int,1,filter_vol,400
15,6,2017,yawgoo,3,int,1,chla_rfu,1136.11
15,6,2017,yawgoo,3,int,2,chla_rfu,1240.85
15,6,2017,yawgoo,3,int,1,filter_vol,400
15,6,2017,yawgoo,4,int,1,chla_rfu,2888.2
15,6,2017,yawgoo,4,int,2,chla_rfu,4241.98
15,6,2017,yawgoo,4,int,1,filter_vol,400
15,6,2017,yawgoo,5,int,1,chla_rfu,3309.8
15,6,2017,yawgoo,5,int,2,chla_rfu,2988.84
15,6,2017,yawgoo,5,int,1,filter_vol,400
15,6,2017,yawgoo,6,int,1,chla_rfu,1168.4
15,6,2017,yawgoo,6,int,2,chla_rfu,1160.43
15,6,2017,yawgoo,6,int,1,filter_vol,400
15,6,2017,yawgoo,p,int,1,chla_rfu,1580.16
15,6,2017,yawgoo,p,int,2,chla_rfu,1551.59
15,6,2017,yawgoo,p,int,3,chla_rfu,1910.66
15,6,2017,yawgoo,p,int,1,filter_vol,400
15,6,2017,warwick,blank,int,1,blank,0.76
15,6,2017,warwick,blank,int,2,blank,1.6
15,6,2017,warwick,1,int,1,chla_rfu,2034.57
15,6,2017,warwick,1,int,2,chla_rfu,1546.87
15,6,2017,warwick,1,int,1,filter_vol,300
15,6,2017,warwick,2,int,1,chla_rfu,1967.44
15,6,2017,warwick,2,int,2,chla_rfu,2378.15
15,6,2017,warwick,2,int,1,filter_vol,300
15,6,2017,warwick,3,int,1,chla_rfu,2302.43
15,6,2017,warwick,3,int,2,chla_rfu,2144.55
15,6,2017,warwick,3,int,1,filter_vol,300
15,6,2017,warwick,4,int,1,chla_rfu,2076.98
15,6,2017,warwick,4,int,2,chla_rfu,1942.23
15,6,2017,warwick,4,int,1,filter_vol,300
15,6,2017,warwick,5,int,1,chla_rfu,1820.6
