20180829W11,0.118
20180829W12,0.114
20180829W21,0.104
20180829W22,0.046
20180829W31,0.119
20180829W32,0.087
20180829W41,0.072
20180829W42,0.052
20180829W51,0.07
20180829W52,0.08
20180829W61,0.049
20180829W62,0.027
20180829WP1,0.094
20180829WP2,0.093
20180829WP3,0.042
20180829WP_5,0.044
20180829Wp_5,0.081
20180827M11,0.575
20180827M12,0.452
20180827M51,0.534
20180827M61,0.666
20180827M62,0.485
20180827MP1,0.448
20180827MP3,0.832
20180829M31,0.755
20180829M32,0.813
20180829M42,0.645
20180829M61,0.708
20180829P1,0.762
20180829P2,0.688
20180829P3,0.686
20180830Y11,0.068
20180830Y12,0.082
20180830Y21,0.027
202310241000S03B,0
202310241000S03S,0.019
202310241000S03D,0.034
