20180716M41,,0.352
20180716M42,,0.253
20180716W51,,0.056
20180716M52,,0.178
20180716M61,,0.177
20180716M62,,0.19
20180716MP1,,0.227
20180716MP2,,0.232
20180716MP3,,0.242
20180718W11,,0.046
20180718W12,,0.025
20180718W21,,0.053
20180718W22,,0.071
20180718W31,,0.055
20180718W32,,0.027
20180718W41,,0.058
20180718W42,,0.069
20180718W51,,0.042
20180718W52,,0.024
20180718W61,,0.063
20180718W62,,0.068
20180718WP1,,0.04
20180718P2,,0.023
20180718P3,,0.037
20180718WP_5,,0.085
20180718Wp_5,,0.052
20180718M11,,0.201
20180718M12,,0.287
20180718M21,,0.36
20180718M22,,0.282
20180718M31,,0.253
20180718M32,,0.192
20180718M41,,0.336
20180718M51,,0.225
20180718M52,,0.177
20180718M61,,0.188
20180718M62,,0.303
20180712YP_5,,0.117
