20181022M11,0.46
20181022M12,0.678
20181022M21,0.391
20181022M22,0.241
20181022M31,0.208
20181022M32,0.309
20181022M41,0.253
20181022M42,0.273
20181022M51,0.347
20181022M52,0.34
20181022M61,0.33
20181022M62,0.241
20181022MP1,0.279
20181022MP2,0.411
20181022MP3,0.262
20181024Y11,0.128
20181024Y12,0.131
20181024Y21,0.129
20181024Y22,0.154
20181024Y31,0.133
20181024Y32,0.132
20181024Y41,0.12
20181024Y42,0.123
20181024Y51,0.127
20181024Y52,0.134
20181024Y61,0.136
20181024Y62,0.112
20181024YP1,0.111
20181024YP2,0.146
20181024YP3,0.131
20181024Yp5,0.132
20181024YP5,0.114
20181030W11,0.128
20181030W12,0.128
20181030W21,0.122
20181030W22,0.092
20181030W31,0.121
20181030W32,0.13
