20180702M41,0.148
20180702M42,0.134
20180702M51,0.085
20180702M52,0.077
20180702M61,0.167
20180702M62,0.093
20180702MP1,0.066
20180702MP2,0.131
20180702MP3,0.112
20180705Y11,0.039
20180705Y12,0.014
20180705Y21,0.022
20180705Y22,0.041
20180705Y31,0.036
20180705Y32,0.008
20180705Y41,0.015
20180705Y42,0.063
20180705Y51,0.023
20180705Y52,0.006
20180705Y61,0.015
20180705Y62,0.053
20180705YP1,0.034
20180705YP2,0.002
20180705YP3,0.001
20180705YP_5,0.044
20180705Yp_5,0.019
20180709W11,0
20180709W12,0
20180709W21,0.02
20180709W22,0.026
20180709W31,0.003
20180709W32,0
20180709W41,0.038
20180709W42,0.049
20180709W51,0
20180709W52,0
20180709W61,0.056
20180709W62,0.035
