sample,concentration
20190722M11,<0.000
20190722M12,0.194
20190722M21,<0.000
20190722M22,<0.000
20190722M31,<0.000
20190722M32,0.048
20190722M41,<0.000
20190722M42,<0.000
20190722M51,0.039
20190722M52,<0.000
20190722M61,0.066
20190722M62,0.099
20190724M11,0.099
20190724M12,<0.000
20190724M21,<0.000
20190724M22,0.056
20190724M31,0.041
20190724M32,<0.000
20190724M41,<0.000
20190724M42,<0.000
20190724M51,0.09
20190724M52,<0.000
20190724M61,0.101
20190724M62,0.127
20190730M11,<0.000
20190730M12,<0.000
20190730M21,<0.000
20190730M22,0.027
20190730M31,<0.000
20190730M32,<0.000
20190730M41,<0.000
20190730M42,<0.000
20190730M51,0.073
20190730M52,<0.000
20190730M61,0.023
20190730M62,<0.000
20190801M11,<0.000
20190801M12,<0.000
20190801M21,<0.000
20190801M22,<0.000
20190801M31,0.103
20190801M32,0.021
20190801M41,<0.000
20190801M42,<0.000
20190801M51,<0.000
20190801M52,<0.000
20190801M61,<0.000
20190801M62,<0.000
20190805M11,<0.000
20190805M12,<0.000
20190805M21,<0.000
20190805M22,<0.000
20190805M31,<0.000
20190805M32,<0.000
20190805M41,<0.000
20190805M42,<0.000
20190805M51,<0.000
20190805M52,<0.000
20190805M61,<0.000
20190805M62,<0.000
20190808M11,<0.000
20190808M12,<0.000
20190808M21,<0.000
