sample,concentration
20190808M21,0.104
20190808M22,0.079
20190808M31,0.113
20190808M32,0.012
20190808M41,<0.000
20190808M42,0.056
20190808M51,0.205
20190808M52,0.12
20190808M61,0.077
20190808M62,0.107
20190812M11,<0.000
20190812M12,<0.000
20190812M21,0.056
20190812M22,0.167
20190812M31,<0.000
20190812M32,0.09
20190812M41,<0.000
20190812M42,0.008
20190812M51,0.048
20190812M52,0.124
20190812M61,0.039
20190812M62,<0.000
20190814M11,<0.000
20190814M12,0.022
20190814M21,<0.000
20190814M22,0.063
20190814M31,0.032
20190814M32,0.034
20190814M41,0.004
20190814M42,<0.000
20190814M51,0.099
20190814M52,0.032
20190814M61,0.037
20190814M62,0.022
20190819M11,0.069
20190819M12,0.051
20190819M21,<0.000
20190819M22,0.048
20190819M31,0.125
20190819M32,0.017
20190819M41,0.046
20190819M42,0.057
20190819M51,0.201
20190819M52,0.098
20190819M61,0.045
20190819M62,0.032
20190821M11,0.11
20190821M12,0.069
control,0.572
20190821M22,<0.000
20190821M31,0.074
20190821M32,0.057
20190821M41,<0.000
20190821M42,0.02
20190821M51,<0.000
20190821M52,0.087
20190821M61,0.024
20190821M62,<0.000
20190826M11,0.047
20190826M12,<0.000
20190826M21,0.02
20190826M22,<0.000
control,0.658
