sample,concentration
20170617YP1,<0.000
20170617YP2,0.037
20170617YP3,0.031
20170623YP1,0.042
20170623YP2,0.039
20170623YP3,<0.000
20170705YP1,0.017
20170705YP2,0.025
20170705YP3,0.113
20170717YP1,0.161
20170717YP2,0.144
20170717YP3,0.18
20170731YP1,0.92
20170731YP2,0.938
20170731YP3,1.004
20170814YP1,0.591
20170814YP2,0.592
20170814YP3,0.634
20170828YP1,0.164
20170828YP2,0.205
20170828YP3,0.18
20170912YP1,0.107
20170912YP2,0.073
20170912YP3,0.071
20170925YP1,0.025
20170925YP2,<0.000
20170925YP3,0.058
20171010YP1,0.07
20171010YP2,0.051
20171010YP3,0.021
20171016YP1,<0.000
20171016YP2,<0.000
20171016YP3,0.048
20171101YP1,<0.000
20171101YP2,0.008
20171101YP3,0.007
20180613YP2,0.011
20180613YP3,0.013
20180629YP1,0.005
20180629YP2,<0.000
20180629YP3,<0.000
20180712YP1,0.021
20180712YP2,0.006
20180712YP3,0.045
20180731YP1,<0.000
20180731YP2,0.017
20180731YP3,0.024
20180813YP1,0.041
20180813YP2,<0.000
20180813YP3,0.029
20180830YP1,0.041
20180830YP2,<0.000
20180913YP1,0.041
20180913YP2,<0.000
20180913YP3,0.034
20180926YP1,0.004
20180926YP2,<0.000
20180926YP3,0.003
20181011YP1,0.033
20181011YP2,0.051
20181011YP3,0.053
Standard 1ppb,0.969
Standard 0.4ppb,0.333
