sample,concentration
20180904M42,1.119
20180904M51,0.926
20180904M52,1.211
20180904M61,1.067
20180904M62,1.113
20190923M11,0.265
20190923M12,0.204
20190923M21,0.23
20190923M22,0.393
20190923M31,0.275
20190923M32,0.314
20190923M41,0.494
20190923M42,0.22
20190923M51,0.36
20190923M52,0.356
20190923M61,0.294
20190923M62,0.519
20191021M11,0.512
20191021M12,0.794
20191021M21,0.584
20191021M22,0.69
20191021M31,1.015
20191021M32,0.573
20191021M41,0.476
20191021M42,0.566
20191021M51,0.523
20191021M52,0.422
20191021M61,0.574
20191021M62,0.545
20191023M11,0.533
20191023M12,0.548
20191023M21,0.518
20191023M22,0.687
20191023M31,0.621
20191023M32,0.66
20191023M41,0.523
20191023M42,0.598
20191023M51,0.512
20191023M52,0.611
20191023M61,0.646
20191023M62,0.774
20191028M11,0.526
20191028M12,0.585
20191028M21,0.742
20191028M22,0.553
20191028M31,0.517
20191028M32,0.395
20191028M41,0.508
20191028M42,0.515
20191028M51,0.402
20191028M52,0.601
20191028M61,0.511
20191028M62,0.518
20191106W11,0.031
20191106W12,<0.000
20191106W21,<0.000
20191106W22,<0.000
20191106W31,<0.000
20191106W32,<0.000
20191106W41,<0.000
20191106W42,0.074
20191106W51,<0.000
20191106W52,0.062
