20181016W51,,0.217
20181016W52,,0.127
20181016W61,,0.109
20181016W62,,0.074
20181016WP1,,0.15
20181016WP2,,0.12
20181016WP3,,0.122
20181016WP_5,,0.082
20181022W11,,0.159
20181022W12,,0.086
20181022W21,,0.071
20181022W22,,0.077
20181022W31,,0.111
20181022W32,,0.05
20181022W41,,0.061
20181022W42,,0.068
20181022W51,,0.114
20181022W52,,0.101
20181022W61,,0.062
20181022W62,,0.094
20181022WP1,,0.122
20181022WP2,,0.075
20181022WP3,,0.103
20181022WP_5,,0.039
20181022WP_5,,0.13
20181031YP3,,0.112
20181031YP_5,,0.106
20181031Yp_5,,0.192
20181108MP1,,0.228
20181108MP2,,0.229
20181108MP3,,0.074
20181108MP_5,,0.006
20181108MP_5,,0.207
20181203MP1,,0.107
20181203MP2,,0.113
20181203MP3,,0.084
20181203WP1,,0.145
20181203WP2,,0.122
