sample,concentration
2021818W11,0.065
2021818W12,0.053
2021818W21,0.07
2021818W22,0.043
Standard 4,0.862
2021818W32,0.052
2021818W41,0.066
2021818W42,0.004
2021818W51,0.054
2021818W52,0.042
2021818W61,0.071
2021818W62,0.071
2021818WP1,0.086
2021818WP2,0.051
2021818WP3,0.044
2021923W11,0.088
2021923W12,0.072
2021923W21,0.079
2021923W22,0.097
2021923W31,0.078
2021923W32,0.087
2021923W41,0.158
2021923W42,0.066
2021923W51,0.14
2021923W52,0.102
2021923W61,0.182
2021923W62,0.079
2021923WP1,0.092
2021923WP2,0.032
2021923WP3,0.08
20211012W11,0.074
20211012W12,0.078
20211012W21,0.079
20211012W22,0.07
20211012W31,0.09
20211012W32,0.065
20211012W41,0.078
20211012W42,0.076
,>10.000
,>10.000
,>10.000
,>10.000
,>10.000
,>10.000
,>10.000
20211012M11,0.656
20211012M12,1.127
20211012M21,1.18
20211012M22,0.977
20211012M31,1.017
20211012M32,0.84
20211012M41,1.027
20211012M42,1.283
20211012M51,1.186
20211012M52,0.889
20211012M61,1.041
20211012M62,0.66
20211012MP1,1.25
20211012MP2,1.279
20211012MP3,1.846
2021923MP1,1.398
2021923MP2,0.955
2021923MP3,1.322
