sample,concentration
20191021YP1,0.135
20191021YP2,0.114
20191021YP3,0.11
20180611M11,0.071
20180611M12,0.088
20180611M21,0.122
20180611M22,0.067
20180611M31,0.119
20180611M32,0.096
20180611M41,0.062
20180611M42,0.107
20180611M51,0.078
20180611M52,0.071
20180611M62,0.065
,0.03
20180611MP1,0.062
20180611MP2,0.072
20180611MP3,0.157
20180618M11,0.087
20180618M12,<0.000
20180618M22,0.071
20180618M31,0.055
20180618M32,0.033
20180618M41,<0.000
20180618M42,0.038
20180618M51,0.046
20180618M52,0.074
20180618M61,0.048
20180618M62,0.033
20180618MP1,0.031
20180618MP2,0.106
20180618MP3,0.027
20180625M11,0.291
20180625M12,0.096
20180625M21,0.102
20180625M22,0.135
20180625M31,0.129
20180625M32,0.162
20180625M41,0.141
20180625M42,0.119
20180625M51,0.113
20180625M52,0.09
20180625M61,0.039
20180625M62,0.079
20180702M11,0.185
20180702M12,0.18
20180702M21,0.129
20180702M22,0.049
20180702M31,0.045
20180702M32,0.039
20180702M41,0.109
20180702M42,0.192
20180702M51,0.184
20180702M52,0.158
20180702M61,0.232
20180702M62,0.138
20180709M11,0.156
20180709M12,0.171
20180709M21,0.176
20180709M22,0.16
20180709M31,0.185
20180709M32,0.094
1.0ppb STD,0.968
