20180917M52,,0.839
20180917M61,,0.751
20180917M62,,1.004
20180917MP1,,0.639
20180917MP2,,0.893
20180917MP3,,0.927
20180919W11,,0.165
20180919W12,,0.12
20180919W21,,0.185
20180919W22,,0.193
20180919W31,,0.14
20180919W32,,0.093
20180919W41,,0.196
20180919W42,,0.168
20180919W51,,0.141
20180919W52,,0.143
20180919W61,,0.177
20180919W62,,0.103
20180919WP1,,0.066
20180919WP2,,0.078
20180919WP3,,0.178
20180919M11,,1.1
20180919M12,,0.877
20180919M21,,1.074
20180919M22,,0.962
20180919M31,,0.118
20180919M32,,0.934
20180919M41,,1.188
20180919M42,,1.348
20180919M51,,1.196
20180919M52,,0.875
20180919M61,,0.263
20180919M62,,0.575
20180919Y11,,0.071
20180919Y12,,0.047
20180919Y21,,0.051
20180919Y22,,0.111
20180919Y31,,0.085
