sample,concentration
20211012W51,0.088
20211012W52,0.052
20211012W61,0.086
20211012W62,0.108
20211012WP1,0.103
20211012WP2,0.012
20211012WP3,0.044
20210721W11,0.103
20210721W12,0.041
20210721W21,<0.000
20210721W22,0.048
20210721W31,<0.000
20210721W32,<0.000
20210721W41,0.098
20210721W42,0.07
20210721W51,0.062
20210721W52,<0.000
20210721W61,0.077
20210721W62,0.071
20210721WP1,0.075
20210721WP2,0.043
20210721WP3,0.015
20210721M11,0.363
20210721M12,0.396
20210721M21,0.516
20210721M22,0.445
20210721M31,0.346
20210721M32,0.402
20210721M41,0.404
20210721M42,0.452
20210721M51,0.438
20210721M52,0.378
20210721M61,0.391
20210721M62,0.442
20210721MP1,0.414
20210721MP2,0.498
20210721MP3,0.378
20210923M11,1.388
20210923M12,1.554
20210923M21,1.431
20210923M22,1.179
20210923M31,0.954
20210923M32,0.799
20210923M41,1.24
20210923M42,1.123
20210923M51,0.951
20210923M52,1.715
20210923M61,1.365
20210923M62,2.044
20210624WP1,0.056
20210624WP2,0.062
20210624WP3,0.135
20210624MP1,0.66
20210624MP2,0.699
20210624MP3,0.618
20211101YP1,0.138
20211101YP2,0.324
20211101YP3,0.052
20210920YP1,0.072
20210920YP2,0.234
20210920YP3,0.262
Control 8,0.803
Control 9,0.879
