sample,concentration
20210828CH4-137O4B,<0.000
20210828CH4-137O4S,0.069
20210710CH4-326U-05S,0.226
Control 9,0.596
20211012W51,0.086
20211012W52,0.064
20211012W61,0.077
20211012W62,0.048
20211012WP1,0.105
20211012WP2,0.086
20211012WP3,0.101
20210628SHB1,0.196
20210628SHB2,0.19
20210628SHB3,0.117
20210714SHB1,0.213
20210714SHB2,0.282
20210714SHB3,0.284
20210729SHB1,0.278
20210729SHB2,0.294
20210729SHB3,0.304
20210811SHB1,0.4
20210811SHB2,0.356
20210811SHB3,0.376
20210831SHB1,0.153
20210831SHB2,0.223
20210831SHB3,0.196
20210915SHB1,0.073
20210915SHB2,0.083
20210915SHB3,0.073
20211013SHB1,0.074
20211013SHB2,0.079
20211013SHB3,0.052
20211104SHB1,0.03
20211104SHB2,0.073
20211104SHB3,0.065
20210628HAB1,0.022
20210628HAB2,0.07
20210628HAB3,0.014
20210729HAB1,0.058
20210729HAB2,0.066
20210729HAB3,0.075
20210831HAB1,0.106
20210831HAB2,0.098
20210831HAB3,0.121
20211013HAB1,0.03
20211013HAB2,0.104
20211013HAB3,0.05
20210616YP1,0.093
20210616YP2,0.057
20210616YP3,0.078
20210726YP1,0.085
20210726YP2,0.024
20210726YP3,<0.000
20210830YP1,0.08
20210830YP2,0.047
20210830YP3,0.108
20210920YP1,0.075
20210920YP2,0.045
20210920YP3,0.078
20211101YP1,0.045
20211101YP2,0.048
20211101YP3,0.076
Control 8,0.772
