sample,concentration
20191106W61,0.049
20191106W62,0.093
20180919W11,<0.000
20180919W12,0.047
20180919W21,0.068
20180919W22,<0.000
20180919W31,<0.000
20180919W32,0.048
20180919W41,0.029
20180919W42,0.04
20180919W51,0.058
20180919W52,0.035
20180919W61,0.014
20180919W62,0.024
20181009W11,0.018
20181009W12,0.053
20181009W21,0.049
20181009W22,0.066
20181009W31,<0.000
20181009W32,0.157
20181009W41,<0.000
20181009W42,<0.000
20181009W51,0.023
20181009W52,0.062
20181009W61,<0.000
20181009W62,0.027
20190904W11,0.03
20190904W12,<0.000
20190904W21,0.038
20190904W22,0.074
20190904W31,0.002
20190904W32,0.028
20190904W41,0.066
20190904W42,0.03
20190904W51,0.029
20190904W52,0.046
20190904W61,0.056
20190904W62,0.008
20190911W11,0.057
20190911W12,0.057
20190911W21,0.042
20190911W22,0.055
20190911W31,<0.000
20190911W32,0.029
20190911W41,0.028
20190911W42,<0.000
20190911W51,0.032
20190911W52,0.055
20190911W61,<0.000
20190911W62,0.024
20190916W11,0.051
20190916W12,0.089
20190916W21,0.06
20190916W22,0.044
20190916W31,<0.000
20190916W32,<0.000
20190916W41,0.045
20190916W42,0.066
20190916W51,0.061
20190916W52,0.093
20190916W61,0.123
20190916W62,0.052
STD 1.0ppb,0.926
