sample,concentration
20191106MP3,0.513
20191120MP1,0.089
20191120MP2,0.038
20191120MP3,0.028
20190814MP3,0.075
20190819MP1,0.082
20190819MP2,0.025
20190819MP3,0.066
20190821MP1,0.195
20190821MP2,0.084
20190821MP3,0.075
20190828MP1,0.081
20190828MP2,0.102
20190828MP3,0.093
20190904MP1,0.141
20190904MP2,0.162
20190904MP3,0.112
20190911MP1,0.132
20190911MP2,0.149
20190911MP3,0.247
20180625MP1,0.049
20180625MP2,0.154
20180625MP3,0.095
20180702MP1,0.107
20180702MP2,0.243
20180702MP3,0.068
20180709MP1,0.293
20180709MP2,0.133
20180709MP3,0.3
20180716MP1,0.338
20180716MP2,0.264
20180716MP3,0.183
20180718MP1,0.305
20180718MP2,0.396
20180718MP3,0.259
20180802MP1,0.44
20180802MP2,0.485
20180802MP3,0.58
20180806MP1,0.954
20180806MP2,0.7
20180806MP3,0.785
20180809MP1,0.954
20180809MP2,0.886
20180809MP3,0.726
20180816MP1,0.57
20180816MP2,0.662
20180816MP3,0.724
20180823MP1,0.675
20180823MP2,0.721
20180823MP3,0.803
20180827MP1,0.955
20180827MP2,1.261
20180827MP3,1.055
20180829MP1,0.899
20180829MP2,1.07
20180829MP3,0.732
20180904MP1,0.834
20180904MP2,0.868
20180904MP3,1.094
20180906MP1,1.283
20180906MP2,1.199
20180906MP3,1.339
Standard 4,1.644
