sample,concentration
20180809M52,0.872
20180809M61,0.825
20180809M62,0.817
20180816M11,0.869
20180816M12,0.753
20180816M21,1.075
20180816M22,0.939
20180816M31,1.033
20180816M32,1.087
20180816M41,0.673
20180816M42,0.599
20180816M51,0.562
20180816M52,0.781
20180816M61,0.66
20180816M62,0.953
20180823M11,0.769
20180823M12,0.817
20180823M21,0.898
20180823M22,0.809
20180823M31,0.793
20180823M32,0.785
20180823M41,0.634
20180823M42,0.719
20180823M51,0.814
20180823M52,0.77
20180823M61,0.531
20180823M62,0.497
20180906M11,1.237
20180906M12,1.158
20180906M21,1.52
20180906M22,1.509
20180906M31,1.197
20180906M32,1.034
20180906M41,1.429
20180906M42,1.02
20180906M51,2.053
20180906M52,1.07
20180906M61,1.254
20180906M62,1.695
20180913M11,0.606
20180913M12,0.337
20180913M21,0.486
20180913M22,0.641
20180913M31,0.676
20180913M32,0.869
20180913M41,0.522
20180913M42,0.596
20180913M51,0.539
20180913M52,0.478
20180913M61,0.447
20180913M62,0.356
20180917M11,0.597
20180917M12,0.547
20180917M21,0.744
20180917M22,0.678
20180917M31,0.928
20180917M32,0.513
20180917M41,0.627
20180917M42,0.568
20180917M51,0.495
20180917M52,0.829
20180917M61,0.484
20180917M62,0.843
