20180716Y11,0.054
20180716Y12,0.012
20180716Y21,0.014
20180716Y22,0.012
20180716Y31,0.032
20180716Y32,0
20180716Y41,0.005
20180716Y42,0.013
20180716Y51,0.018
20180716Y52,0
20180716Y61,0
20180716Y62,0
20180716YP1,0.02
20180716YP2,0
20180716YP_5,0
20180716Yp_5,0
20180716W11,0
20180716W12,0
20180716W21,0
20180716W22,0
20180716W31,0
20180716W32,0
20180716W41,0
20180716W42,0
20180716W51,0.078
20180716W52,0
20180716W61,0
20180716W62,0
20180716WP1,0.01
20180716WP2,0
20180716WP3,0
20180716M11,0.072
20180716M12,0.18
20180716M21,0.143
20180716M22,0.14
20180716M31,0.092
20180716M32,0.288
