20180806M61,,0.733
20180806M62,,0.596
20180806MP1,,0.829
20180806MP2,,0.632
20180806MP3,,0.952
20180807Y11,,0.042
20180807Y12,,0.04
20180807Y21,,0.036
20180807Y22,,0.087
20180807Y31,,0.04
20180807Y32,,0.02
20180807Y41,,0.017
20180807Y42,,0.11
20180807Y51,,0.026
20180807Y52,,0.006
20180807Y61,,0.002
20180807Y62,,0.085
20180807YP1,,0.013
20180807YP2,,0
20180807YP_5,,0.009
20180807Yp_5,,0.078
20180809W11,,0
20180809W12,,0
20180809W21,,0
201808079W22,,0.061
20180809W31,,0.003
20180809W32,,0
20180809W41,,0
20180809W42,,0.08
20180809W51,,0.001
20180809W52,,0
20180809W61,,0
20180809W62,,0.065
20180809WP1,,0.033
20180809WP2,,0
20180807WP3,,0
20180807WP_5,,0.086
20180807Wp_5,,0.026
