sample,concentration
20180709M41,0.156
20180709M42,0.108
20180709M51,0.13
20180709M52,0.142
20180709M61,0.078
20180709M62,0.114
20180716M11,0.214
20180716M12,0.264
20180716M21,0.26
20180716M22,0.381
20180716M31,0.23
20180716M32,0.299
20180716M41,0.221
20180716M42,0.249
20180716M51,0.202
20180716M52,0.133
20180716M61,0.15
20180716M62,0.209
20180718M11,0.282
20180718M12,0.26
20180718M21,0.3
20180718M22,0.262
20180718M31,0.237
20180718M32,0.257
20180718M41,0.385
20180718M42,0.369
20180718M51,0.145
20180718M52,0.115
20180718M61,0.175
20180718M62,0.182
20180802M11,0.696
20180802M12,0.406
20180802M21,0.362
20180802M22,0.281
20180802M31,0.397
20180802M32,0.292
20180802M41,0.914
20180802M42,0.634
20180802M51,0.541
20180802M52,0.535
20180802M61,0.521
20180802M62,0.688
20180806M11,0.684
20180806M12,0.521
20180806M21,1.045
20180806M22,0.774
20180806M31,0.708
20180806M32,0.599
20180806M41,0.654
20180806M42,0.881
20180806M51,0.757
20180806M52,0.48
20180806M61,0.683
20180806M62,0.714
20180809M11,0.825
20180809M12,0.927
20180809M21,1.042
20180809M22,0.87
20180809M31,0.84
20180809M32,0.836
20180809M41,0.901
20180809M42,0.678
20180809M51,0.983
