sample,concentration
200903_044_07_sh,0.061
200728_054_s-5_sh,0.276
200810_083_u-18_sh,0.056
200810_083_u-18_du,0.029
200810_083_u-18_bl,0.054
200901_098_11_sh,0.009
200820_101_u-15_sh,0.005
200902_102_3_sh,0.029
200819_116_u-11_sh,0.054
200819_116_u-11_du,0.051
200819_116_u-11_bl,0.027
200904_138_11_du,0.018
200904_138_11_bl,0.021
200909_191_u-13_sh,0.071
200909_191_u-13_du,0.06
200909_191_u-13_bl,0.054
200827_205_u-7_sh,0.113
200912_207_s-25_sh,0.224
200911_208_u-1_sh,0.072
200812_209_u-14_sh,0.11
200825_210_s-5_sh,>10.000
200825_210_s-5_du,>10.000
200825_210_s-5_bl,0.114
200729_211_u-14_sh,0.116
200729_211_u-14_du,0.149
200729_211_u-14_bl,0.049
200901_234_s-20_sh,0.08
200903_235_s-3_sh,0.38
200903_235_s-3_du,0.712
200706_238_su-08_sh,0.043
200706_238_su-08_bl,0.057
200729_249_su-06_sh,0.082
200729_249_su-06_du,0.051
200729_249_su-06_bl,0.02
200712_265_u-02_unk,<0.000
200712_265_u-02_du,0.044
200709_287_u-13_sh,0.022
