sample,concentration
202161CH4-2335-18D,0.035
202161CH4-2335-18B,0.042
202161CH4-2335-18S,<0.000
202163CH4-237U-15S,0.081
202164CH4-236U-07S,<0.000
2021611149S,<0.000
2021614155U-25D,0.013
2021614155U-25B,<0.000
2021614155U-25S,<0.000
2021616CH4-275U-12D,0.188
2021616CH4-275U-12B,<0.000
2021616CH4-275U-12S,0.192
20216172401S,<0.000
2021622O69 transU-12S,<0.000
2021624O69 lacU-04S,0.025
2021625O70 lacU-06D,0.003
2021625O70 lacU-06B,0.002
2021625O70 lacU-06S,0.001
2021629O70 river11-06S,0.009
2021629CH4-288U-10D,0.038
2021629CH4-288U-10B,0.071
2021629CH4-288U-10S,0.033
2021630CH4-316U-03S,0.089
202177O79U-12S,1.197
202178CH4-298U-01D,0.052
202178CH4-298U-01B,0.007
202178CH4-298U-01S,<0.000
202179O75U-8D,0.715
202179O75U-8B,<0.000
202179O75U-8S,1.47
standard 2.0ppb,2.204
2021711CH4-327U-05S,0.1
2021712O70U-7S,0.016
2021713231S-24S,1.928
2021714147U-01D,<0.000
2021714147U-01B,<0.000
2021714147U-01S,0.018
2021725O78U-29S,0.161
2021727167U-06D,<0.000
2021727167U-06B,<0.000
2021727167U-06S,<0.000
2021727232U-13S,0.208
202172968SU-4D,0.298
202172968SU-4B,<0.000
202172968SU-4S,0.447
2021731O69U-07S,0.027
202189O76U-2S,0.015
2021817CH4-291U-13D,<0.000
2021817CH4-291U-13S,0.02
2021817148U-07D,0.058
2021817148U-07B,<0.000
2021817148U-07S,0.021
2021819CH4-296U-17S,0.047
2021820CH4-317U-18S,0.075
2021823CH4-297U41S,<0.000
2021824CH4-119O4S,<0.000
2021825O67U-04D,0.096
2021825O67U-04B,<0.000
2021825O67U-04S,0.052
2021825CH4-016O8S,<0.000
2021825O72U-09S,0.36
2021826CH4-08211S,<0.000
2021828CH4-137O4D,<0.000
