sample,concentration
20180618M21,0.082
20180919M11,0.881
20180919M12,0.925
20180919M21,0.957
20180919M22,0.762
20180919M31,1.137
20180919M32,0.978
20180919M41,1.103
20180919M42,0.942
20180919M51,1.079
20180919M52,0.908
20180919M61,0.486
20180919M62,0.403
20180924M11,0.802
20180924M12,1.222
20180924M21,0.863
20180924M22,0.643
20180924M31,0.786
20180924M32,0.763
20180924M41,0.49
20180924M42,0.643
20180924M51,0.485
20180924M52,0.536
20180924M61,0.449
20180924M62,0.339
20180927M11,0.743
20180927M12,0.621
20180927M21,0.974
20180927M22,0.673
20180927M31,0.721
20180927M32,0.777
20180927M41,0.492
20180927M42,0.574
20180927M51,0.631
20180927M52,0.877
20180927M61,0.576
20180927M62,0.736
20181001M11,0.523
20181001M12,0.795
20181001M21,0.772
20181001M22,0.664
20181001M31,0.888
20181001M32,0.508
20181001M41,0.699
20181001M42,1.061
20181001M51,0.481
20181001M52,0.644
20181001M61,0.643
20181001M62,0.53
20181004M11,0.507
20181004M12,0.742
20181004M21,0.322
20181004M22,0.898
20181004M31,0.288
20181004M32,0.303
20181004M41,0.751
20181004M42,0.778
20181004M51,0.465
20181004M52,0.543
20181004M61,0.448
20181004M62,0.37
20181009M11,0.592
20181009M12,0.43
