sample,concentration
20190612M32,0.087
20190612M41,0.051
20190612M42,0.226
20190612M51,1.491
20190612M52,0.947
20190612M61,0.178
20190612M62,0.367
20190618M11,0.298
20190618M12,0.309
20190618M21,0.271
20190618M22,0.356
20190618M31,0.095
20190618M32,0.338
20190618M41,0.081
20190618M42,0.489
20190618M51,0.419
20190618M52,0.132
20190618M61,0.256
20190618M62,0.296
20190627M11,0.677
20190627M12,0.539
20190627M21,1.579
20190627M22,0.267
20190627M31,0.427
20190627M32,0.247
20190627M41,0.049
20190627M42,0.033
20190627M51,0.187
20190627M52,0.082
20190627M61,0.089
20190627M62,0.011
20190701M11,0.073
20190701M12,0.232
20190701M21,0.118
20190701M22,0.127
20190701M31,0.066
20190701M32,0.001
20190701M41,0.367
20190701M42,0.011
20190701M51,0.008
20190701M52,0.122
20190701M61,0.027
20190701M62,0.046
20190710M11,0.027
20190710M12,0
20190710M21,0.155
20190710M22,0.046
20190710M31,0.008
20190710M32,0.003
20190710M41,<0.000
20190710M42,<0.000
20190710M51,<0.000
20190710M52,0.269
20190710M61,<0.000
20190710M62,<0.000
20190715M11,<0.000
20190715M12,<0.000
20190715M21,<0.000
20190715M22,<0.000
20190715M31,<0.000
20190715M32,<0.000
20190715M41,<0.000
20190715M42,<0.000
