sample,concentration
20180913MP1,0.686
20180913MP2,0.327
20180913MP3,0.346
20180917MP1,0.496
20180917MP2,0.174
20180917MP3,0.805
20180919MP1,1.494
20180919MP2,1.232
20180919MP3,0.817
20180924MP1,0.365
20180924MP2,0.602
20180924MP3,0.569
20180927MP1,0.414
20180927MP2,0.623
20180927MP3,0.759
20181001MP1,0.57
20181001MP2,0.725
20181001MP3,0.707
20181004MP1,0.68
20181004MP2,0.799
20181004MP3,0.887
20181016MP1,0.251
20181016MP2,0.306
20181030MP1,0.174
20181030MP2,0.203
20181030MP3,0.101
20181108MP1,0.209
20181108MP2,0.116
20181108MP3,0.079
20181203MP1,0.019
20181203MP2,<0.000
20181203MP3,0.025
20180827M11,0.858
20180827M12,0.644
20180827M21,1.998
20180827M22,1.921
20180827M31,2.312
20180827M32,2.281
20180827M41,1.434
20180827M42,1.379
20180827M51,0.894
20180827M52,1.123
20180827M61,0.646
20180827M62,0.72
20180829M11,0.914
20180829M12,1.657
20180829M21,1.251
20180829M22,1.519
20180829M31,1.153
20180829M32,0.906
20180829M41,1.331
20180829M42,1.237
20180829M51,1.334
20180829M52,1.26
20180829M61,1.052
20180829M62,1.261
20180904M11,1.318
20180904M12,1.205
20180904M21,1.134
20180904M22,1.081
20180904M31,1.269
20180904M32,1.387
20180904M41,1.05
Standard 2ppb,2.336
