sample,concentration
20210628s11,0.16
20210628s12,0.242
20210628s21,0.199
20210628s22,0.334
20210628s31,0.223
20210628s32,0.212
20210628s41,0.092
20210628s42,0.228
20210714s11,0.323
20210714s12,0.308
20210714s21,0.227
20210714s22,0.139
20210714s31,0.297
20210714s32,0.21
20210714s41,0.287
20210714s42,0.17
20210729s11,0.24
20210729s12,0.192
20210729s21,0.197
20210729s22,0.2
20210729s31,0.325
20210729s32,0.27
20210729s41,0.264
20210729s42,0.424
20210811s12,0.412
20210811s22,0.448
20210811s31,0.461
20210811s41,0.63
20210811s42,0.504
20210831s12,0.131
20210831s21,0.079
20210831s22,0.123
20210831s31,0.095
20210831s32,0.222
20210831s42,0.158
20210915s12,<0.000
20210915s21,<0.000
20210915s22,<0.000
20210915s32,<0.000
20210915s41,<0.000
2021114s11,<0.000
2021114s12,<0.000
2021114s21,<0.000
2021114s22,<0.000
2021114s31,<0.000
2021114s32,<0.000
2021114s41,0.042
2021114s42,<0.000
2021114h11,<0.000
2021114h12,<0.000
2021114h21,<0.000
2021114h22,<0.000
2021114h31,<0.000
2021114h32,<0.000
2021114h41,<0.000
2021114h42,<0.000
2021915hB1,<0.000
2021915hB2,<0.000
2021915hB3,<0.000
2021114hB1,<0.000
2021114hB2,<0.000
2021114hB3,<0.000
Control 8,0.758
