sample,concentration
20170731Y11,0.957
20170731Y12,0.922
20170731Y21,0.952
20170731Y22,1.02
20170731Y31,1.057
20170731Y32,1.013
20170731Y41,0.861
20170731Y42,0.773
20170731Y51,0.78
20170731Y52,0.819
20170731Y62,0.917
20170731YP1,0.964
20170731YP2,0.812
20170731YP3,1.014
20170814Y11,0.64
20170814Y12,0.587
20170814Y21,0.627
20170814Y22,0.623
20170814Y31,0.52
20170814Y32,0.678
20170814Y41,0.644
20170814Y42,0.65
20170814Y51,0.669
20170814Y52,0.63
20170814Y61,0.55
20170814Y62,0.59
20170814YP1,0.641
20170814YP2,0.589
20170814YP3,0.604
20191106M12,0.512
20191106M21,0.592
20191106M22,0.464
20191106M31,0.491
20191106M32,0.614
20191106M41,0.323
20191106M42,0.47
20191106M51,0.568
20191106M52,0.419
20191106M61,0.461
20191106M62,0.368
20190607YP1,<0.000
20190607YP2,0.063
20190607YP3,0.093
20190626YP1,0.061
20190626YP2,0.03
20190626YP3,<0.000
20190708YP2,<0.000
20190708YP3,0.028
20190722YP1,0.062
20190722YP2,0.057
20190722YP3,0.02
20190805YP1,<0.000
20190805YP2,<0.000
20190805YP3,<0.000
20190819YP1,0.15
20190819YP2,0.111
20190819YP3,0.118
20190904YP1,0.033
20190904YP2,<0.000
20190904YP3,<0.000
20190926YP1,0.156
20190926YP2,0.302
20190926YP3,0.109
