20180823MP2,0.833
20180823MP3,0.76
20180823W11,0.057
20180823W12,0.07
20180823W21,0.089
20180823W22,0.068
20180823W31,0.053
20180823W32,0.066
20180823W41,0.12
20180823W42,0.063
20180823W51,0.057
20180823W51,0.065
20180823W61,0.165
20180823W62,0.104
20180823WP1,0.067
20180823WP2,0.06
20180823WP3,0.122
20180823WP_5,0.102
20180823Wp_5,0.051
20180827W11,0.055
20180827W12,0.107
20180827W21,0.066
20180827W22,0.034
20180827W31,0.037
20180827W32,0.137
20180827W41,0.074
20180827W42,0.026
20180827W51,0.014
20180827W52,0.192
20180827W61,0.077
20180827W62,0.036
20180827WP1,0.019
20180827WP2,0.177
20180827WP3,0.112
20180827WP_5,0.054
20180827Wp_5,0.009
