sample,concentration
20181009M21,0.199
20181009M22,0.247
20181009M31,0.306
20181009M32,1.018
20181009M41,0.771
20181009M42,0.316
20181009M51,0.468
20181009M52,0.577
20181009M61,0.446
20181009M62,0.337
20181016M11,0.382
20181016M12,0.239
20181016M21,0.536
20181016M22,0.276
20181016M31,0.541
20181016M32,0.451
20181016M41,0.252
20181016M42,0.412
20181016M51,0.488
20181016M52,0.764
20181016M61,0.653
20181016M62,1.219
20181022M11,0.454
20181022M12,0.658
20181022M21,0.427
20181022M22,0.181
20181022M31,0.173
20181022M32,0.292
20181022M41,0.248
20181022M42,0.299
20181022M51,0.325
20181022M52,0.292
20181022M61,0.352
20181022M62,0.191
20181030M11,0.245
20181030M12,0.151
20181030M21,0.162
20181030M22,0.576
20181030M31,0.176
20181030M32,0.196
20181030M41,0.272
20181030M42,0.189
20181030M51,0.184
20181030M52,0.144
20181030M61,0.148
20181030M62,0.232
20190605M11,0.009
20190605M12,0.016
20190605M21,<0.000
20190605M22,0.073
20190605M31,<0.000
20190605M32,0.088
20190605M41,0.32
20190605M42,0.149
20190605M51,0.013
20190605M52,0.113
20190605M61,0.087
20190605M62,0.03
20190612M11,0.03
20190612M12,0.158
20190612M21,0.063
20190612M22,0.138
20190612M31,0.077
